開催年数,開催月,科目,問番号,(1),(2),(3),(4),(5),正答番号,問,解説
オリジナル,,労働衛生,161,適切な休養は、疲労の回復や作業能率の維持に役立つ。,栄養管理では、特定の栄養素だけを無制限に摂取すればよい。,人間工学は、人の特性を無視して機械に合わせることだけを目的とする。,職場巡視は、衛生管理上の問題を見つけないために行う。,換気は、室内の汚染物質濃度を常に上昇させるために行う。,1,労働衛生(有害業務に係るもの以外のもの)における休養に関する次の記述のうち、正しいものはどれか。,休養は疲労回復と健康保持に不可欠です。 したがって、正しいものは1です。
オリジナル,,労働衛生,162,快適な職場環境づくりは、作業環境や作業方法の改善と関係する。,事務所では、空気環境、照明、温熱条件などを適切に管理することが必要である。,温熱条件には、気温、湿度、気流、ふく射熱などが関係する。,休養を全く取らないほど、疲労は必ず回復する。,VDT作業では、画面の映り込みを防ぎ、自然な姿勢で作業できる配置が望ましい。,4,労働衛生(有害業務に係るもの以外のもの)における休養に関する次の記述のうち、誤っているものはどれか。,休養は疲労回復と健康保持に不可欠です。 したがって、誤っているものは4です。
オリジナル,,労働衛生,163,快適職場づくりは、労働衛生とは全く関係がない。,事務所では、空気環境や照明を管理する必要は全くない。,温熱条件は、気温だけで決まり、湿度や気流は関係しない。,VDT作業では、画面への強い映り込みを増やすほど眼の負担が減る。,適切な休養は、疲労の回復や作業能率の維持に役立つ。,5,労働衛生(有害業務に係るもの以外のもの)における休養に関する次の記述のうち、適切なものはどれか。,休養は疲労回復と健康保持に不可欠です。 したがって、正しいものは5です。
オリジナル,,労働衛生,164,同一姿勢が長時間続く作業では、姿勢変化や休憩を取り入れることが望ましい。,保健指導は、健康診断結果などに基づき生活習慣の改善を支援する。,休養を全く取らないほど、疲労は必ず回復する。,作業に適した照度を確保することは、眼の疲労や作業ミスの防止に役立つ。,職場のメンタルヘルス対策では、一次予防、早期発見、職場復帰支援などが重要である。,3,労働衛生(有害業務に係るもの以外のもの)における休養に関する次の記述のうち、不適切なものはどれか。,休養は疲労回復と健康保持に不可欠です。 したがって、誤っているものは3です。
オリジナル,,労働衛生,165,睡眠衛生では、睡眠時間を常にゼロにすることが推奨される。,適度な運動は、生活習慣病予防や体力維持に役立つ。,同一姿勢を長時間続けるほど、筋骨格系の負担は常にゼロになる。,保健指導は、労働者の健康保持や生活習慣の改善支援とは全く関係がない。,精密作業では、照度をできるだけ低くするほど作業しやすい。,2,労働衛生(有害業務に係るもの以外のもの)における運動に関する次の記述のうち、正しいものはどれか。,適度な運動は健康保持増進に役立ちます。 したがって、正しいものは2です。
オリジナル,,労働衛生,166,人間工学は、作業を人の特性に合わせて設計する考え方である。,職場巡視は、作業環境や作業方法の問題点を把握する機会となる。,換気は、室内の汚染空気を排出し、新鮮な空気を取り入れるために行う。,重量物取扱いでは、作業姿勢、重量、作業頻度などを考慮して腰部負担を減らす。,運動は健康保持に全く関係せず、常に有害である。,5,労働衛生(有害業務に係るもの以外のもの)における運動に関する次の記述のうち、誤っているものはどれか。,適度な運動は健康保持増進に役立ちます。 したがって、誤っているものは5です。
オリジナル,,労働衛生,167,適度な運動は、生活習慣病予防や体力維持に役立つ。,人間工学は、人の特性を無視して機械に合わせることだけを目的とする。,職場巡視は、衛生管理上の問題を見つけないために行う。,換気は、室内の汚染物質濃度を常に上昇させるために行う。,重量物取扱いでは、腰を大きくひねった姿勢を維持するほど腰痛を予防できる。,1,労働衛生(有害業務に係るもの以外のもの)における運動に関する次の記述のうち、適切なものはどれか。,適度な運動は健康保持増進に役立ちます。 したがって、正しいものは1です。
オリジナル,,労働衛生,168,事務所では、空気環境、照明、温熱条件などを適切に管理することが必要である。,温熱条件には、気温、湿度、気流、ふく射熱などが関係する。,VDT作業では、画面の映り込みを防ぎ、自然な姿勢で作業できる配置が望ましい。,運動は健康保持に全く関係せず、常に有害である。,ストレスチェックは、労働者自身のストレスへの気付きを促す目的も持つ。,4,労働衛生(有害業務に係るもの以外のもの)における運動に関する次の記述のうち、不適切なものはどれか。,適度な運動は健康保持増進に役立ちます。 したがって、誤っているものは4です。
オリジナル,,労働衛生,169,快適職場づくりは、労働衛生とは全く関係がない。,事務所では、空気環境や照明を管理する必要は全くない。,栄養管理では、エネルギー摂取量と栄養バランスを考慮する。,温熱条件は、気温だけで決まり、湿度や気流は関係しない。,VDT作業では、画面への強い映り込みを増やすほど眼の負担が減る。,3,労働衛生(有害業務に係るもの以外のもの)における栄養に関する次の記述のうち、正しいものはどれか。,栄養管理では、量と質の両面からバランスを考える必要があります。 したがって、正しいものは3です。
オリジナル,,労働衛生,170,栄養管理では、特定の栄養素だけを無制限に摂取すればよい。,同一姿勢が長時間続く作業では、姿勢変化や休憩を取り入れることが望ましい。,保健指導は、健康診断結果などに基づき生活習慣の改善を支援する。,作業に適した照度を確保することは、眼の疲労や作業ミスの防止に役立つ。,職場のメンタルヘルス対策では、一次予防、早期発見、職場復帰支援などが重要である。,1,労働衛生(有害業務に係るもの以外のもの)における栄養に関する次の記述のうち、誤っているものはどれか。,栄養管理では、量と質の両面からバランスを考える必要があります。 したがって、誤っているものは1です。
オリジナル,,労働衛生,171,同一姿勢を長時間続けるほど、筋骨格系の負担は常にゼロになる。,栄養管理では、エネルギー摂取量と栄養バランスを考慮する。,保健指導は、労働者の健康保持や生活習慣の改善支援とは全く関係がない。,精密作業では、照度をできるだけ低くするほど作業しやすい。,メンタルヘルス対策は、職場環境の改善とは全く関係がない。,2,労働衛生(有害業務に係るもの以外のもの)における栄養に関する次の記述のうち、適切なものはどれか。,栄養管理では、量と質の両面からバランスを考える必要があります。 したがって、正しいものは2です。
オリジナル,,労働衛生,172,職場巡視は、作業環境や作業方法の問題点を把握する機会となる。,換気は、室内の汚染空気を排出し、新鮮な空気を取り入れるために行う。,重量物取扱いでは、作業姿勢、重量、作業頻度などを考慮して腰部負担を減らす。,受動喫煙対策は、職場の空気環境管理における重要な課題である。,栄養管理では、特定の栄養素だけを無制限に摂取すればよい。,5,労働衛生(有害業務に係るもの以外のもの)における栄養に関する次の記述のうち、不適切なものはどれか。,栄養管理では、量と質の両面からバランスを考える必要があります。 したがって、誤っているものは5です。
オリジナル,,労働衛生,173,人間工学は、人の特性を無視して機械に合わせることだけを目的とする。,職場巡視は、衛生管理上の問題を見つけないために行う。,換気は、室内の汚染物質濃度を常に上昇させるために行う。,睡眠衛生では、規則的な生活リズムや睡眠環境の整備が重要である。,重量物取扱いでは、腰を大きくひねった姿勢を維持するほど腰痛を予防できる。,4,労働衛生(有害業務に係るもの以外のもの)における睡眠衛生に関する次の記述のうち、正しいものはどれか。,睡眠衛生は質のよい睡眠を確保するための生活・環境面の工夫です。 したがって、正しいものは4です。
オリジナル,,労働衛生,174,事務所では、空気環境、照明、温熱条件などを適切に管理することが必要である。,睡眠衛生では、睡眠時間を常にゼロにすることが推奨される。,温熱条件には、気温、湿度、気流、ふく射熱などが関係する。,VDT作業では、画面の映り込みを防ぎ、自然な姿勢で作業できる配置が望ましい。,ストレスチェックは、労働者自身のストレスへの気付きを促す目的も持つ。,2,労働衛生(有害業務に係るもの以外のもの)における睡眠衛生に関する次の記述のうち、誤っているものはどれか。,睡眠衛生は質のよい睡眠を確保するための生活・環境面の工夫です。 したがって、誤っているものは2です。
オリジナル,,労働衛生,175,事務所では、空気環境や照明を管理する必要は全くない。,温熱条件は、気温だけで決まり、湿度や気流は関係しない。,睡眠衛生では、規則的な生活リズムや睡眠環境の整備が重要である。,VDT作業では、画面への強い映り込みを増やすほど眼の負担が減る。,ストレスチェックは、労働者の視力だけを測定する制度である。,3,労働衛生(有害業務に係るもの以外のもの)における睡眠衛生に関する次の記述のうち、適切なものはどれか。,睡眠衛生は質のよい睡眠を確保するための生活・環境面の工夫です。 したがって、正しいものは3です。
オリジナル,,労働衛生,176,睡眠衛生では、睡眠時間を常にゼロにすることが推奨される。,保健指導は、健康診断結果などに基づき生活習慣の改善を支援する。,作業に適した照度を確保することは、眼の疲労や作業ミスの防止に役立つ。,職場のメンタルヘルス対策では、一次予防、早期発見、職場復帰支援などが重要である。,職場の感染症対策では、手洗い、換気、体調不良時の対応などが重要である。,1,労働衛生(有害業務に係るもの以外のもの)における睡眠衛生に関する次の記述のうち、不適切なものはどれか。,睡眠衛生は質のよい睡眠を確保するための生活・環境面の工夫です。 したがって、誤っているものは1です。
オリジナル,,労働衛生,177,同一姿勢を長時間続けるほど、筋骨格系の負担は常にゼロになる。,保健指導は、労働者の健康保持や生活習慣の改善支援とは全く関係がない。,精密作業では、照度をできるだけ低くするほど作業しやすい。,メンタルヘルス対策は、職場環境の改善とは全く関係がない。,快適な職場環境づくりは、作業環境や作業方法の改善と関係する。,5,労働衛生(有害業務に係るもの以外のもの)における快適職場に関する次の記述のうち、正しいものはどれか。,快適職場づくりは、健康保持や作業性の向上に関わる重要な取り組みです。 したがって、正しいものは5です。
オリジナル,,労働衛生,178,職場巡視は、作業環境や作業方法の問題点を把握する機会となる。,換気は、室内の汚染空気を排出し、新鮮な空気を取り入れるために行う。,快適職場づくりは、労働衛生とは全く関係がない。,重量物取扱いでは、作業姿勢、重量、作業頻度などを考慮して腰部負担を減らす。,受動喫煙対策は、職場の空気環境管理における重要な課題である。,3,労働衛生(有害業務に係るもの以外のもの)における快適職場に関する次の記述のうち、誤っているものはどれか。,快適職場づくりは、健康保持や作業性の向上に関わる重要な取り組みです。 したがって、誤っているものは3です。
オリジナル,,労働衛生,179,職場巡視は、衛生管理上の問題を見つけないために行う。,換気は、室内の汚染物質濃度を常に上昇させるために行う。,重量物取扱いでは、腰を大きくひねった姿勢を維持するほど腰痛を予防できる。,快適な職場環境づくりは、作業環境や作業方法の改善と関係する。,受動喫煙は、喫煙者以外の健康には全く影響しない。,4,労働衛生(有害業務に係るもの以外のもの)における快適職場に関する次の記述のうち、適切なものはどれか。,快適職場づくりは、健康保持や作業性の向上に関わる重要な取り組みです。 したがって、正しいものは4です。
オリジナル,,労働衛生,180,温熱条件には、気温、湿度、気流、ふく射熱などが関係する。,快適職場づくりは、労働衛生とは全く関係がない。,VDT作業では、画面の映り込みを防ぎ、自然な姿勢で作業できる配置が望ましい。,ストレスチェックは、労働者自身のストレスへの気付きを促す目的も持つ。,定期健康診断は、労働者の健康状態を継続的に把握するために行われる。,2,労働衛生(有害業務に係るもの以外のもの)における快適職場に関する次の記述のうち、不適切なものはどれか。,快適職場づくりは、健康保持や作業性の向上に関わる重要な取り組みです。 したがって、誤っているものは2です。
オリジナル,,労働衛生,181,人間工学は、作業を人の特性に合わせて設計する考え方である。,事務所では、空気環境や照明を管理する必要は全くない。,温熱条件は、気温だけで決まり、湿度や気流は関係しない。,VDT作業では、画面への強い映り込みを増やすほど眼の負担が減る。,ストレスチェックは、労働者の視力だけを測定する制度である。,1,労働衛生(有害業務に係るもの以外のもの)における人間工学に関する次の記述のうち、正しいものはどれか。,人間工学は人の身体的・心理的特性に配慮した作業設計に役立ちます。 したがって、正しいものは1です。
オリジナル,,労働衛生,182,保健指導は、健康診断結果などに基づき生活習慣の改善を支援する。,作業に適した照度を確保することは、眼の疲労や作業ミスの防止に役立つ。,職場のメンタルヘルス対策では、一次予防、早期発見、職場復帰支援などが重要である。,人間工学は、人の特性を無視して機械に合わせることだけを目的とする。,職場の感染症対策では、手洗い、換気、体調不良時の対応などが重要である。,4,労働衛生(有害業務に係るもの以外のもの)における人間工学に関する次の記述のうち、誤っているものはどれか。,人間工学は人の身体的・心理的特性に配慮した作業設計に役立ちます。 したがって、誤っているものは4です。
オリジナル,,労働衛生,183,保健指導は、労働者の健康保持や生活習慣の改善支援とは全く関係がない。,精密作業では、照度をできるだけ低くするほど作業しやすい。,メンタルヘルス対策は、職場環境の改善とは全く関係がない。,感染症対策では、換気や手指衛生は不要である。,人間工学は、作業を人の特性に合わせて設計する考え方である。,5,労働衛生(有害業務に係るもの以外のもの)における人間工学に関する次の記述のうち、適切なものはどれか。,人間工学は人の身体的・心理的特性に配慮した作業設計に役立ちます。 したがって、正しいものは5です。
オリジナル,,労働衛生,184,換気は、室内の汚染空気を排出し、新鮮な空気を取り入れるために行う。,重量物取扱いでは、作業姿勢、重量、作業頻度などを考慮して腰部負担を減らす。,人間工学は、人の特性を無視して機械に合わせることだけを目的とする。,受動喫煙対策は、職場の空気環境管理における重要な課題である。,健康診断の結果に異常所見がある場合、必要に応じて就業上の措置を検討する。,3,労働衛生(有害業務に係るもの以外のもの)における人間工学に関する次の記述のうち、不適切なものはどれか。,人間工学は人の身体的・心理的特性に配慮した作業設計に役立ちます。 したがって、誤っているものは3です。
オリジナル,,労働衛生,185,職場巡視は、衛生管理上の問題を見つけないために行う。,同一姿勢が長時間続く作業では、姿勢変化や休憩を取り入れることが望ましい。,換気は、室内の汚染物質濃度を常に上昇させるために行う。,重量物取扱いでは、腰を大きくひねった姿勢を維持するほど腰痛を予防できる。,受動喫煙は、喫煙者以外の健康には全く影響しない。,2,労働衛生(有害業務に係るもの以外のもの)における作業姿勢に関する次の記述のうち、正しいものはどれか。,長時間同一姿勢は負担となるため、姿勢変化や休憩が重要です。 したがって、正しいものは2です。
オリジナル,,労働衛生,186,温熱条件には、気温、湿度、気流、ふく射熱などが関係する。,VDT作業では、画面の映り込みを防ぎ、自然な姿勢で作業できる配置が望ましい。,ストレスチェックは、労働者自身のストレスへの気付きを促す目的も持つ。,定期健康診断は、労働者の健康状態を継続的に把握するために行われる。,同一姿勢を長時間続けるほど、筋骨格系の負担は常にゼロになる。,5,労働衛生(有害業務に係るもの以外のもの)における作業姿勢に関する次の記述のうち、誤っているものはどれか。,長時間同一姿勢は負担となるため、姿勢変化や休憩が重要です。 したがって、誤っているものは5です。
オリジナル,,労働衛生,187,同一姿勢が長時間続く作業では、姿勢変化や休憩を取り入れることが望ましい。,温熱条件は、気温だけで決まり、湿度や気流は関係しない。,VDT作業では、画面への強い映り込みを増やすほど眼の負担が減る。,ストレスチェックは、労働者の視力だけを測定する制度である。,定期健康診断は、作業場の照度を測定するためだけに行われる。,1,労働衛生(有害業務に係るもの以外のもの)における作業姿勢に関する次の記述のうち、適切なものはどれか。,長時間同一姿勢は負担となるため、姿勢変化や休憩が重要です。 したがって、正しいものは1です。
オリジナル,,労働衛生,188,作業に適した照度を確保することは、眼の疲労や作業ミスの防止に役立つ。,職場のメンタルヘルス対策では、一次予防、早期発見、職場復帰支援などが重要である。,職場の感染症対策では、手洗い、換気、体調不良時の対応などが重要である。,同一姿勢を長時間続けるほど、筋骨格系の負担は常にゼロになる。,作業管理では、作業方法や作業時間などを見直して労働者の負担を減らす。,4,労働衛生(有害業務に係るもの以外のもの)における作業姿勢に関する次の記述のうち、不適切なものはどれか。,長時間同一姿勢は負担となるため、姿勢変化や休憩が重要です。 したがって、誤っているものは4です。
オリジナル,,労働衛生,189,保健指導は、労働者の健康保持や生活習慣の改善支援とは全く関係がない。,精密作業では、照度をできるだけ低くするほど作業しやすい。,事務所では、空気環境、照明、温熱条件などを適切に管理することが必要である。,メンタルヘルス対策は、職場環境の改善とは全く関係がない。,感染症対策では、換気や手指衛生は不要である。,3,労働衛生(有害業務に係るもの以外のもの)における事務所衛生に関する次の記述のうち、正しいものはどれか。,事務所でも快適で健康的な作業環境を保つ管理が求められます。 したがって、正しいものは3です。
オリジナル,,労働衛生,190,事務所では、空気環境や照明を管理する必要は全くない。,換気は、室内の汚染空気を排出し、新鮮な空気を取り入れるために行う。,重量物取扱いでは、作業姿勢、重量、作業頻度などを考慮して腰部負担を減らす。,受動喫煙対策は、職場の空気環境管理における重要な課題である。,健康診断の結果に異常所見がある場合、必要に応じて就業上の措置を検討する。,1,労働衛生(有害業務に係るもの以外のもの)における事務所衛生に関する次の記述のうち、誤っているものはどれか。,事務所でも快適で健康的な作業環境を保つ管理が求められます。 したがって、誤っているものは1です。
オリジナル,,労働衛生,191,換気は、室内の汚染物質濃度を常に上昇させるために行う。,事務所では、空気環境、照明、温熱条件などを適切に管理することが必要である。,重量物取扱いでは、腰を大きくひねった姿勢を維持するほど腰痛を予防できる。,受動喫煙は、喫煙者以外の健康には全く影響しない。,健康診断の結果は、異常所見があっても一切確認してはならない。,2,労働衛生(有害業務に係るもの以外のもの)における事務所衛生に関する次の記述のうち、適切なものはどれか。,事務所でも快適で健康的な作業環境を保つ管理が求められます。 したがって、正しいものは2です。
オリジナル,,労働衛生,192,VDT作業では、画面の映り込みを防ぎ、自然な姿勢で作業できる配置が望ましい。,ストレスチェックは、労働者自身のストレスへの気付きを促す目的も持つ。,定期健康診断は、労働者の健康状態を継続的に把握するために行われる。,作業環境管理では、作業場の物理的・化学的環境を改善する。,事務所では、空気環境や照明を管理する必要は全くない。,5,労働衛生(有害業務に係るもの以外のもの)における事務所衛生に関する次の記述のうち、不適切なものはどれか。,事務所でも快適で健康的な作業環境を保つ管理が求められます。 したがって、誤っているものは5です。
オリジナル,,労働衛生,193,温熱条件は、気温だけで決まり、湿度や気流は関係しない。,VDT作業では、画面への強い映り込みを増やすほど眼の負担が減る。,ストレスチェックは、労働者の視力だけを測定する制度である。,職場巡視は、作業環境や作業方法の問題点を把握する機会となる。,定期健康診断は、作業場の照度を測定するためだけに行われる。,4,労働衛生(有害業務に係るもの以外のもの)における職場巡視に関する次の記述のうち、正しいものはどれか。,職場巡視により、現場のリスクや改善点を把握できます。 したがって、正しいものは4です。
オリジナル,,労働衛生,194,作業に適した照度を確保することは、眼の疲労や作業ミスの防止に役立つ。,職場巡視は、衛生管理上の問題を見つけないために行う。,職場のメンタルヘルス対策では、一次予防、早期発見、職場復帰支援などが重要である。,職場の感染症対策では、手洗い、換気、体調不良時の対応などが重要である。,作業管理では、作業方法や作業時間などを見直して労働者の負担を減らす。,2,労働衛生(有害業務に係るもの以外のもの)における職場巡視に関する次の記述のうち、誤っているものはどれか。,職場巡視により、現場のリスクや改善点を把握できます。 したがって、誤っているものは2です。
オリジナル,,労働衛生,195,精密作業では、照度をできるだけ低くするほど作業しやすい。,メンタルヘルス対策は、職場環境の改善とは全く関係がない。,職場巡視は、作業環境や作業方法の問題点を把握する機会となる。,感染症対策では、換気や手指衛生は不要である。,作業管理とは、作業者の健康状態を無視して作業量を増やすことである。,3,労働衛生(有害業務に係るもの以外のもの)における職場巡視に関する次の記述のうち、適切なものはどれか。,職場巡視により、現場のリスクや改善点を把握できます。 したがって、正しいものは3です。
オリジナル,,労働衛生,196,職場巡視は、衛生管理上の問題を見つけないために行う。,重量物取扱いでは、作業姿勢、重量、作業頻度などを考慮して腰部負担を減らす。,受動喫煙対策は、職場の空気環境管理における重要な課題である。,健康診断の結果に異常所見がある場合、必要に応じて就業上の措置を検討する。,健康管理では、健康診断や保健指導などにより労働者の健康保持を図る。,1,労働衛生(有害業務に係るもの以外のもの)における職場巡視に関する次の記述のうち、不適切なものはどれか。,職場巡視により、現場のリスクや改善点を把握できます。 したがって、誤っているものは1です。
オリジナル,,労働衛生,197,換気は、室内の汚染物質濃度を常に上昇させるために行う。,重量物取扱いでは、腰を大きくひねった姿勢を維持するほど腰痛を予防できる。,受動喫煙は、喫煙者以外の健康には全く影響しない。,健康診断の結果は、異常所見があっても一切確認してはならない。,保健指導は、健康診断結果などに基づき生活習慣の改善を支援する。,5,労働衛生(有害業務に係るもの以外のもの)における保健指導に関する次の記述のうち、正しいものはどれか。,保健指導は健康状態に応じた生活改善や受診勧奨に役立ちます。 したがって、正しいものは5です。
オリジナル,,労働衛生,198,VDT作業では、画面の映り込みを防ぎ、自然な姿勢で作業できる配置が望ましい。,ストレスチェックは、労働者自身のストレスへの気付きを促す目的も持つ。,保健指導は、労働者の健康保持や生活習慣の改善支援とは全く関係がない。,定期健康診断は、労働者の健康状態を継続的に把握するために行われる。,作業環境管理では、作業場の物理的・化学的環境を改善する。,3,労働衛生(有害業務に係るもの以外のもの)における保健指導に関する次の記述のうち、誤っているものはどれか。,保健指導は健康状態に応じた生活改善や受診勧奨に役立ちます。 したがって、誤っているものは3です。
オリジナル,,労働衛生,199,VDT作業では、画面への強い映り込みを増やすほど眼の負担が減る。,ストレスチェックは、労働者の視力だけを測定する制度である。,定期健康診断は、作業場の照度を測定するためだけに行われる。,保健指導は、健康診断結果などに基づき生活習慣の改善を支援する。,作業環境管理では、作業場の環境を把握せずに放置する。,4,労働衛生(有害業務に係るもの以外のもの)における保健指導に関する次の記述のうち、適切なものはどれか。,保健指導は健康状態に応じた生活改善や受診勧奨に役立ちます。 したがって、正しいものは4です。
オリジナル,,労働衛生,200,職場のメンタルヘルス対策では、一次予防、早期発見、職場復帰支援などが重要である。,保健指導は、労働者の健康保持や生活習慣の改善支援とは全く関係がない。,職場の感染症対策では、手洗い、換気、体調不良時の対応などが重要である。,作業管理では、作業方法や作業時間などを見直して労働者の負担を減らす。,整理、整頓、清掃、清潔、しつけは、職場環境の維持に役立つ。,2,労働衛生(有害業務に係るもの以外のもの)における保健指導に関する次の記述のうち、不適切なものはどれか。,保健指導は健康状態に応じた生活改善や受診勧奨に役立ちます。 したがって、誤っているものは2です。
オリジナル,,関係法令,1,有害業務では、法令に基づき特殊健康診断の実施が義務付けられる場合がある。,有機溶剤業務では、換気設備や保護具に関する規制は存在しない。,粉じん作業では、粉じん発散を増やすことが法令上の目的である。,有害業務を行う屋内作業場では、作業環境測定が常に禁止されている。,有害業務では、労働者に注意事項を知らせる掲示を常に禁止する。,1,関係法令(有害業務に係るもの)における特殊健康診断に関する次の記述のうち、正しいものはどれか。,有害業務には、物質や作業に応じた特殊健康診断が定められています。 したがって、正しいものは1です。
オリジナル,,関係法令,2,鉛業務では、作業環境管理、作業管理、健康診断などが法令で定められている。,酸素欠乏危険作業では、作業前の測定、換気、監視などが重要である。,有害物質のばく露防止では、作業内容に応じた呼吸用保護具を選定する必要がある。,有害業務では、特殊健康診断が法令上必要となることはない。,一定の危険有害業務に労働者を就かせるときは、特別教育が必要となる場合がある。,4,関係法令(有害業務に係るもの)における特殊健康診断に関する次の記述のうち、誤っているものはどれか。,有害業務には、物質や作業に応じた特殊健康診断が定められています。 したがって、誤っているものは4です。
オリジナル,,関係法令,3,鉛業務では、鉛の有害性を考慮した法令上の管理は不要である。,酸素欠乏危険作業では、酸素濃度を確認しないことが義務付けられている。,呼吸用保護具は、種類にかかわらず全て酸素欠乏場所で単独使用できる。,特別教育は、危険有害業務に就かせる前には一切行ってはならない。,有害業務では、法令に基づき特殊健康診断の実施が義務付けられる場合がある。,5,関係法令(有害業務に係るもの)における特殊健康診断に関する次の記述のうち、適切なものはどれか。,有害業務には、物質や作業に応じた特殊健康診断が定められています。 したがって、正しいものは5です。
オリジナル,,関係法令,4,石綿等を取り扱う作業では、飛散防止やばく露防止の措置が重要である。,局所排気装置を設置した場合、性能を維持するための点検や管理が重要である。,有害業務では、特殊健康診断が法令上必要となることはない。,保護具は、常時有効かつ清潔に保持するよう管理することが必要である。,放射線業務では、被ばく線量の測定や管理が重要である。,3,関係法令(有害業務に係るもの)における特殊健康診断に関する次の記述のうち、不適切なものはどれか。,有害業務には、物質や作業に応じた特殊健康診断が定められています。 したがって、誤っているものは3です。
オリジナル,,関係法令,5,特定化学物質は、すべて食品添加物として無規制に扱える。,一定の有害作業では、作業主任者を選任し作業方法の決定等を行わせる必要がある。,石綿等を取り扱う作業では、飛散防止措置を行ってはならない。,局所排気装置は、一度設置すれば点検や管理を一切行ってはならない。,保護具は、破損していても点検せずに使用させることが望ましい。,2,関係法令(有害業務に係るもの)における作業主任者に関する次の記述のうち、正しいものはどれか。,有害作業の中には作業主任者の選任が必要なものがあります。 したがって、正しいものは2です。
オリジナル,,関係法令,6,粉じん作業では、じん肺予防のため粉じん発散の抑制や呼吸用保護具の使用が重要である。,一定の有害業務を行う屋内作業場では、法令に基づく作業環境測定が必要となる場合がある。,有害業務では、作業場に有害性や注意事項等を掲示することが求められる場合がある。,妊産婦等については、有害業務への就業制限が定められている場合がある。,作業主任者は、有害作業では一切選任してはならない。,5,関係法令(有害業務に係るもの)における作業主任者に関する次の記述のうち、誤っているものはどれか。,有害作業の中には作業主任者の選任が必要なものがあります。 したがって、誤っているものは5です。
オリジナル,,関係法令,7,一定の有害作業では、作業主任者を選任し作業方法の決定等を行わせる必要がある。,粉じん作業では、粉じん発散を増やすことが法令上の目的である。,有害業務を行う屋内作業場では、作業環境測定が常に禁止されている。,有害業務では、労働者に注意事項を知らせる掲示を常に禁止する。,妊産婦等には、すべての有害業務への就業を必ず強制しなければならない。,1,関係法令(有害業務に係るもの)における作業主任者に関する次の記述のうち、適切なものはどれか。,有害作業の中には作業主任者の選任が必要なものがあります。 したがって、正しいものは1です。
オリジナル,,関係法令,8,酸素欠乏危険作業では、作業前の測定、換気、監視などが重要である。,有害物質のばく露防止では、作業内容に応じた呼吸用保護具を選定する必要がある。,一定の危険有害業務に労働者を就かせるときは、特別教育が必要となる場合がある。,作業主任者は、有害作業では一切選任してはならない。,高圧室内作業では、減圧や作業時間などに関する管理が重要である。,4,関係法令(有害業務に係るもの)における作業主任者に関する次の記述のうち、不適切なものはどれか。,有害作業の中には作業主任者の選任が必要なものがあります。 したがって、誤っているものは4です。
オリジナル,,関係法令,9,鉛業務では、鉛の有害性を考慮した法令上の管理は不要である。,酸素欠乏危険作業では、酸素濃度を確認しないことが義務付けられている。,有機溶剤業務では、有機溶剤の区分や作業内容に応じた換気設備等が求められる。,呼吸用保護具は、種類にかかわらず全て酸素欠乏場所で単独使用できる。,特別教育は、危険有害業務に就かせる前には一切行ってはならない。,3,関係法令(有害業務に係るもの)における有機溶剤業務に関する次の記述のうち、正しいものはどれか。,有機溶剤業務では、設備、掲示、保護具、健康診断などの規制があります。 したがって、正しいものは3です。
オリジナル,,関係法令,10,有機溶剤業務では、換気設備や保護具に関する規制は存在しない。,石綿等を取り扱う作業では、飛散防止やばく露防止の措置が重要である。,局所排気装置を設置した場合、性能を維持するための点検や管理が重要である。,保護具は、常時有効かつ清潔に保持するよう管理することが必要である。,放射線業務では、被ばく線量の測定や管理が重要である。,1,関係法令(有害業務に係るもの)における有機溶剤業務に関する次の記述のうち、誤っているものはどれか。,有機溶剤業務では、設備、掲示、保護具、健康診断などの規制があります。 したがって、誤っているものは1です。
オリジナル,,関係法令,11,石綿等を取り扱う作業では、飛散防止措置を行ってはならない。,有機溶剤業務では、有機溶剤の区分や作業内容に応じた換気設備等が求められる。,局所排気装置は、一度設置すれば点検や管理を一切行ってはならない。,保護具は、破損していても点検せずに使用させることが望ましい。,放射線業務では、被ばく線量の把握をしてはならない。,2,関係法令(有害業務に係るもの)における有機溶剤業務に関する次の記述のうち、適切なものはどれか。,有機溶剤業務では、設備、掲示、保護具、健康診断などの規制があります。 したがって、正しいものは2です。
オリジナル,,関係法令,12,一定の有害業務を行う屋内作業場では、法令に基づく作業環境測定が必要となる場合がある。,有害業務では、作業場に有害性や注意事項等を掲示することが求められる場合がある。,妊産婦等については、有害業務への就業制限が定められている場合がある。,潜水作業では、送気、浮上、減圧などに関する安全衛生管理が重要である。,有機溶剤業務では、換気設備や保護具に関する規制は存在しない。,5,関係法令(有害業務に係るもの)における有機溶剤業務に関する次の記述のうち、不適切なものはどれか。,有機溶剤業務では、設備、掲示、保護具、健康診断などの規制があります。 したがって、誤っているものは5です。
オリジナル,,関係法令,13,粉じん作業では、粉じん発散を増やすことが法令上の目的である。,有害業務を行う屋内作業場では、作業環境測定が常に禁止されている。,有害業務では、労働者に注意事項を知らせる掲示を常に禁止する。,特定化学物質を取り扱う作業では、物質の区分に応じたばく露防止措置が必要となる。,妊産婦等には、すべての有害業務への就業を必ず強制しなければならない。,4,関係法令(有害業務に係るもの)における特定化学物質に関する次の記述のうち、正しいものはどれか。,特定化学物質には有害性に応じた管理措置が定められています。 したがって、正しいものは4です。
