開催年数,開催月,科目,問番号,(1),(2),(3),(4),(5),正答番号,問,解説
令和2年,10月,関係法令,7,し尿を入れたことのあるポンプを修理する場合で、これを分解する作業に労働者を従事させるときは、指揮者を選任し、作業を指揮させなければならない。,汚水を入れたことのあるピットの内部における清掃作業の業務に労働者を就かせるときは、第一種酸素欠乏危険作業に係る特別の教育を行わなければならない。,爆発、酸化等を防止するため、酸素欠乏危険作業を行う場所の換気を行うことができない場合には、空気呼吸器、酸素呼吸器又は送気マスクを備え、労働者に使用させなければならない。,タンクの内部その他通風が不十分な場所において、アルゴン等を使用して行う溶接の作業に労働者を従事させるときは、作業を行う場所の空気中の酸素の濃度を18%以上に保つように換気し、又は労働者に空気呼吸器、酸素呼吸器若しくは送気マスクを使用させなければならない。,第一種酸素欠乏危険作業を行う作業場については、その日の作業を開始する前に、当該作業場における空気中の酸素濃度を測定しなければならない。,2,酸素欠乏症等防止規則に関する次の記述のうち、誤っているものはどれか。,酸素欠乏症等防止規則で誤っているのは②の「汚水を入れたことのあるピットの内部は第一種酸素欠乏危険作業である」という記述です。汚水ピットは硫化水素が発生しやすく「第二種酸素欠乏危険作業」に該当します（第一種ではない）。し尿ポンプの修理も酸素欠乏危険作業（①正）、爆発防止のための換気（③正）、アルゴン等使用時の換気（④正）はいずれも正しい内容です。
令和2年,10月,関係法令,8,放射性物質取扱作業室における空気中の放射性物質の濃度の測定...............1か月以内ごとに1回,多量のドライアイスを取り扱う業務を行う屋内作業場における気温及び湿度の測定...............2か月以内ごとに1回,通気設備が設けられている坑内の作業場における通気量の測定...............半月以内ごとに1回,特定粉じん作業を常時行う屋内作業場における空気中の粉じんの濃度の測定...............6か月以内ごとに1回,鉛ライニングの業務を行う屋内作業場における空気中の鉛の濃度の測定...............1年以内ごとに1回,2,有害業務を行う作業場等について、法令に基づき定期に行う作業環境測定とその測定頻度との組合せとして、誤っているものは次のうちどれか。,作業環境測定の頻度で誤っている組み合わせを問う問題です。放射性物質は1か月以内、騒音は6か月以内、通気量は半月以内が正しい頻度です。各測定対象と測定頻度の対応表を整理して覚えることが効率的です。
令和2年,10月,関係法令,9,屋内作業場で、第二種有機溶剤等が付着している物の乾燥の業務に労働者を従事させるとき、その作業場所の空気清浄装置を設けていない局所排気装置の排気口で、厚生労働大臣が定める濃度以上の有機溶剤を排出するものの高さを、屋根から2mとしている。,第三種有機溶剤等を用いて払しょくの業務を行う屋内作業場について、定期に、当該有機溶剤の濃度を測定していない。,有機溶剤業務に常時従事する労働者に対し、1年以内ごとに1回、定期に、有機溶剤等健康診断を行っている。,屋内作業場で、第二種有機溶剤等を用いる試験の業務に労働者を従事させるとき、有機溶剤作業主任者を選任していない。,有機溶剤等を入れてあった空容器で有機溶剤の蒸気が発散するおそれのあるものを、屋外の一定の場所に集積している。,3,有機溶剤業務を行う場合等の措置について、有機溶剤中毒予防規則に違反しているものは次のうちどれか。ただし、同規則に定める適用除外及び設備の特例はないものとする。,有機溶剤業務で違反しているのは③です。問7・47・149と同じテーマで、地下室等での第三種有機溶剤吹付け作業に全体換気装置のみで対応している場合に違反となります。吹付け作業には局所排気装置かプッシュプル型換気装置が必要です。
令和2年,10月,関係法令,10,異常気圧下における業務,多量の高熱物体を取り扱う業務,20kgの重量物を継続作業として取り扱う業務,さく岩機、鋲打機等身体に著しい振動を与える機械器具を用いて行う業務,病原体によって著しく汚染のおそれのある業務,3,労働基準法に基づき、全ての女性労働者について、就業が禁止されている業務は次のうちどれか。,全ての女性労働者に就業が禁止されている業務は正答③の「20kgの重量物を継続作業として取り扱う業務」です。女性労働基準規則で継続作業での重量物取り扱い制限は「20kg以上」です。異常気圧下（①）・多量の高熱物体取り扱い（②）・振動工具業務（④）・強烈な騒音場所（⑤）は妊産婦の就業制限業務であっても全女性への禁止業務ではありません。
令和2年,10月,労働衛生,11,発生可能性及び重篤度を相対的に尺度化し、それらを縦軸と横軸として、あらかじめ発生可能性及び重篤度に応じてリスクが割り付けられた表を使用する方法,発生可能性及び重篤度を一定の尺度によりそれぞれ数値化し、それらを加算又は乗算等する方法,発生可能性及び重篤度を段階的に分岐していく方法,対象の化学物質等への労働者のばく露の程度及び当該化学物質等による有害性を相対的に尺度化し、それらを縦軸と横軸とし、あらかじめばく露の程度及び有害性の程度に応じてリスクが割り付けられた表を使用する方法,調査の対象とした化学物質等への労働者の個人ばく露濃度を測定し、測定結果を厚生労働省の「作業環境評価基準」に示されている当該化学物質の管理濃度と比較する方法,5,厚生労働省の「化学物質等による危険性又は有害性等の調査等に関する指針」において示されている化学物質等による疾病に係るリスクを見積もる方法として、適切でないものは次のうちどれか。,リスク見積もり方法で⑤の「暴露濃度を測定し管理濃度と比較する方法」が指針に示されている見積もり方法です。マトリクス法・数値化法・分岐法・コントロール・バンディングはそれぞれ別の方法です。
令和2年,10月,労働衛生,12,管理濃度は、有害物質に関する作業環境の状態を単位作業場所の作業環境測定結果から評価するための指標として設定されたものである。,A測定は、原材料を反応槽へ投入する場合など、間欠的に大量の有害物質の発散を伴う作業における最高濃度を知るために行う測定である。,B測定は、単位作業場所における気中有害物質濃度の平均的な分布を知るために行う測定である。,A測定の第二評価値及びB測定の測定値がいずれも管理濃度に満たない単位作業場所は、第一管理区分となる。,B測定の測定値が管理濃度を超えている単位作業場所の管理区分は、A測定の結果に関係なく第三管理区分となる。,1,厚生労働省の「作業環境測定基準」及び「作業環境評価基準」に基づく作業環境測定及びその結果の評価に関する次の記述のうち、正しいものはどれか。,作業環境測定・評価に関して誤っているのは①の「管理濃度は個々の労働者のばく露限界を示すもの」という記述です。管理濃度は作業環境の状態を評価するための指標です。A測定は平均的な気中濃度分布を把握（②正）は正しい内容です。
令和2年,10月,労働衛生,13,ホルムアルデヒド......ガス,塩化ビニル...............ガス,二硫化炭素...............蒸気,二酸化硫黄...............蒸気,アクリロニトリル......蒸気,4,化学物質とその常温・常圧(25°C、1気圧)の空気中における状態との組合せとして、誤っているものは次のうちどれか。ただし、「ガス」とは、常温・常圧で気体のものをいい、「蒸気」とは、常温・常圧で液体又は固体の物質が蒸気圧に応じて揮発又は昇華して気体となっているものをいうものとする。,化学物質と空気中状態の組み合わせで誤っているのは④の二硫化炭素です。二硫化炭素は液体から揮発する「蒸気」であり、「ガス」ではありません。ホルムアルデヒドはガス（①正）が正しい内容です。
令和2年,10月,労働衛生,14,じん肺は、粉じんを吸入することによって肺に生じた線維増殖性変化を主体とする疾病である。,じん肺の自覚症状は、初期にはあまりみられないが、進行すると咳せき、痰たん、呼吸困難などがみられる。,じん肺の合併症には、間質性肺炎、慢性閉塞性肺疾患(COPD)などがある。,石綿粉じんは、肺がん、胸膜中皮腫などの重篤な疾病を起こすおそれがある。,米杉、ラワンなどの木材粉じんは、ぜんそくを起こすことがある。,3,粉じんによる健康障害に関する次の記述のうち、誤っているものはどれか。,粉じんによる健康障害で誤っているのは③の「遊離けい酸は石灰化を起こす」という記述です。遊離けい酸（SiO2）が肺に沈着すると珪肺（けいはい）という線維増殖性の変化を起こします。石灰化ではなく線維化が正しい病変です。じん肺は肺の線維増殖（①正）、進行すると粉じんばく露が続いても進行する（②正）、アルミニウムや炭素も粉じんを起こす（④正）はいずれも正しい内容です。
令和2年,10月,労働衛生,15,鉛...........................デルタ-アミノレブリン酸,スチレン..................馬尿酸,キシレン..................メチル馬尿酸,"ノルマルヘキサン......2,5-ヘキサンジオン",トリクロロエチレン...トリクロロ酢酸,2,有害化学物質とその生物学的モニタリング指標として用いられる尿中の代謝物等との組合せとして、誤っているものは次のうちどれか。,有害化学物質と尿中代謝物の組み合わせで正しいのは②のスチレンと馬尿酸・マンデル酸の関係です。各有機溶剤と対応する尿中代謝物は頻出論点です。
令和2年,10月,労働衛生,16,窒素ガスで置換したタンク内の空気など、ほとんど無酸素状態の空気を吸入すると徐々に窒息の状態になり、この状態が5分程度継続すると呼吸停止する。,減圧症は、潜函作業者、潜水作業者などに発症するもので、高圧下作業からの減圧に伴い、血液中や組織中に溶け込んでいた窒素の気泡化が関与して発生し、皮膚のかゆみ、関節痛、神経の麻痺などの症状がみられる。,金属熱は、金属の溶融作業などで亜鉛、銅などの金属の酸化物のヒュームを吸入することにより発生し、悪寒、発熱、関節痛などの症状がみられる。,電離放射線による中枢神経系障害は、確定的影響に分類され、被ばく線量がしきい値を超えると重篤度が線量の増加に応じて増加する。,振動障害は、チェーンソー、削岩機などの振動工具によって生じる障害で、手のしびれなどの末梢神経障害やレイノー現象などの末梢循環障害がみられる。,1,作業環境における有害要因による健康障害に関する次の記述のうち、誤っているものはどれか。,有害要因による健康障害で誤っているのは①の「酸素欠乏状態（窒素置換タンク）でも酸素不足を感知できる」という記述です。酸素欠乏の空気を吸入すると瞬時に意識を失い、自覚症状なく倒れることがあります。「ほとんど感じない」のに危険があると示している場合、その内容が誤りとなります。減圧症（②正）、金属熱（③正）、低体温症（④正）はいずれも正しい内容です。
令和2年,10月,労働衛生,17,硫化水素による中毒では、意識消失、呼吸麻痺などがみられる。,ノルマルヘキサンによる健康障害では、末梢神経障害などがみられる。,"N,N-ジメチルホルムアミドによる健康障害では、頭痛、肝機能障害などがみられる。",弗化水素による健康障害では、貧血、溶血、メトヘモグロビン形成によるチアノーゼなどがみられる。,ベンゼンによる健康障害では、再生不良性貧血、白血病などがみられる。,4,化学物質による健康障害に関する次の記述のうち、誤っているものはどれか。,化学物質による健康障害で誤っているのは④の弗化水素の中毒症状です。弗化水素による慢性中毒では骨の硬化や斑状歯がみられますが、「脳神経細胞が侵される神経障害」は弗化水素より一酸化炭素や有機溶剤に特徴的な症状です。無機水銀の腎障害（①正）、ノルマルヘキサンの末梢神経障害（②正）、DMFの肝機能障害（③正）、ベンゼンの造血障害（⑤正）はいずれも正しい内容です。
令和2年,10月,労働衛生,18,脂溶性があり、脂肪の多い脳などに入りやすい。,高濃度ばく露による急性中毒では、中枢神経系抑制作用により酩酊めいてい状態をきたし、重篤な場合は死に至る。,低濃度の繰り返しばく露による慢性中毒では、頭痛、めまい、記憶力減退、不眠などの不定愁訴がみられる。,皮膚や粘膜に対する症状には、黒皮症、鼻中隔穿孔などがある。,一部の有機溶剤は、肝機能障害や腎機能障害を起こす。,4,有機溶剤の人体に対する影響に関する次の記述のうち、誤っているものはどれか。,有機溶剤の人体への影響で誤っているのは正答④です。黒皮症や鼻中隔穿孔はクロム・砒素などの重金属による障害であり、有機溶剤の特有症状ではありません。有機溶剤は脂溶性で脳に入りやすく（①正）、呼吸器障害を起こし（②正）、慢性暴露で不定愁訴が生じ（③正）、肝・腎障害を起こすものがあります（⑤正）。
令和2年,10月,労働衛生,19,ダクトの形状には円形、角形などがあるが、その断面積を大きくするほど、ダクトの圧力損失が増大する。,フード開口部の周囲にフランジがあると、フランジがないときに比べ、気流の整流作用が増し、大きな排風量が必要となる。,ドラフトチェンバ型フードは、発生源からの飛散速度を利用して捕捉するもので、外付け式フードに分類される。,建築ブース型フードは、作業面を除き周りが覆われているもので、囲い式フードに分類される。,ダクトは、曲がり部分をできるだけ少なくするように配管し、主ダクトと枝ダクトとの合流角度は60°を超えないようにする。,4,局所排気装置に関する次の記述のうち、正しいものはどれか。,局所排気装置に関して正しいのは正答④のキャノピー型フードはレシーバー式フードという記述です。ダクト断面積を大きくすると圧力損失は減少（①誤）、フランジは排風量を少なくできる（②誤）、スロット型は外付け式（③誤）はいずれも誤りです。
令和2年,10月,労働衛生,20,カドミウム中毒では、上気道炎、肺炎、腎機能障害などがみられる。,鉛中毒では、貧血、末梢神経障害、腹部の疝痛などがみられる。,マンガン中毒では、筋のこわばり、ふるえ、歩行困難などのパーキンソン病に似た症状がみられる。,ベリリウム中毒では、溶血性貧血、尿の赤色化などの症状がみられる。,クロム中毒では、肺がん、上気道がんなどがみられる。,4,金属による健康障害に関する次の記述のうち、誤っているものはどれか。,金属による健康障害で誤っているのは④のクロムに関する記述です。クロム中毒は肺がん・鼻中隔穿孔が特徴で、「低分子蛋白尿・歯への色素沈着」は別の金属の症状と混同しています。
令和2年,10月,関係法令,21,安全衛生に関する方針の表明に関すること。,労働者の健康管理等について、事業者に対して行う必要な勧告に関すること。,安全衛生に関する計画の作成、実施、評価及び改善に関すること。,労働災害の原因の調査及び再発防止対策に関すること。,健康診断の実施その他健康の保持増進のための措置に関すること。,2,事業者が衛生管理者に管理させるべき業務として、法令上、誤っているものは次のうちどれか。ただし、次のそれぞれの業務のうち衛生に係る技術的事項に限るものとする。,衛生管理者の管理業務として誤っているのは②の「事業者に対して行う労働者の健康管理等についての必要な勧告」です。事業者への勧告は産業医の職務であり、衛生管理者の業務ではありません。方針の表明（①正）、計画の作成・実施・改善（③正）、労働災害の原因調査（④正）、健康の保持増進（⑤正）はいずれも衛生管理者が管理すべき業務に含まれます。
令和2年,10月,関係法令,22,雇入時の健康診断において、医師による健康診断を受けた後3か月を経過しない者が、その健康診断結果を証明する書面を提出したときは、その健康診断の項目に相当する項目を省略している。,"雇入時の健康診断の項目のうち、聴力の検査は、35歳及び40歳の者並びに45歳以上の者に対しては、1,000Hz及び4,000Hzの音について行っているが、その他の者に対しては、医師が適当と認めるその他の方法により行っている。",深夜業を含む業務に常時従事する労働者に対し、6か月以内ごとに1回、定期に、健康診断を行っているが、胸部エックス線検査については、1年以内ごとに1回、定期に、行っている。,事業場において実施した定期健康診断の結果、健康診断項目に異常所見があると診断された労働者については、健康を保持するために必要な措置について、健康診断が行われた日から3か月以内に、医師から意見聴取を行っている。,常時50人の労働者を使用する事業場において、定期健康診断の結果については、遅滞なく、所轄労働基準監督署長に報告を行っているが、雇入時の健康診断の結果については報告を行っていない。,2,労働安全衛生規則に基づく医師による健康診断について、法令に違反しているものは次のうちどれか。,"健康診断に関して法令に違反しているのは②の雇入時の健康診断の聴力検査に関する記述です。雇入時の健康診断では1,000Hzと4,000Hzの両方で聴力検査を実施する必要があります。定期健康診断では条件によって省略できる場合がありますが、雇入時は省略できません。医師受診後3か月以内の省略（①正）、深夜業の定期健診（③正）はいずれも正しい内容です。"
令和2年,10月,関係法令,23,衛生委員会の議長は、衛生管理者である委員のうちから、事業者が指名しなければならない。,衛生委員会の議長を除く全委員は、事業場に労働者の過半数で組織する労働組合がないときは、労働者の過半数を代表する者の推薦に基づき指名しなければならない。,衛生管理者として選任しているが事業場に専属ではない労働衛生コンサルタントを、衛生委員会の委員として指名することはできない。,当該事業場の労働者で、衛生に関し経験を有するものを衛生委員会の委員として指名することができる。,作業環境測定を作業環境測定機関に委託している場合、衛生委員会の委員として、当該機関に所属する作業環境測定士を指名しなければならない。,4,衛生委員会に関する次の記述のうち、法令上、正しいものはどれか。,衛生委員会に関して正しいのは④の「議事の概要は委員会開催の都度、書面交付等で労働者に周知させなければならない」です。議長は総括安全衛生管理者等（①誤）、議長以外の全委員への推薦義務はない（②誤）、専属でない産業医も委員に指名可能（③正・選択肢として出てくる場合は正）、重要事項の記録は3年間保存（⑤誤・正しくは3年間）です。
令和2年,10月,関係法令,24,面接指導を行う医師として、当該事業場の産業医を指名しなければならない。,面接指導の結果は、健康診断個人票に記載しなければならない。,労働者に対するストレスチェックの事項は、「職場における当該労働者の心理的な負担の原因」、「当該労働者の心理的な負担による心身の自覚症状」及び「職場における他の労働者による当該労働者への支援」に関する項目である。,面接指導の対象となる要件に該当する労働者から申出があったときは、申出の日から3か月以内に、面接指導を行わなければならない。,ストレスチェックと面接指導の実施状況について、面接指導を受けた労働者数が50人以上の場合に限り、労働基準監督署長へ報告しなければならない。,3,労働安全衛生法に基づく心理的な負担の程度を把握するための検査(以下「ストレスチェック」という。)の結果に基づき実施する面接指導に関する次の記述のうち、正しいものはどれか。,ストレスチェックに関して正しいのは③の「高ストレス者への面接指導は本人の申出による」という内容です。面接は強制ではなく、本人の申出が前提です。
令和2年,10月,関係法令,25,常時50人の労働者を就業させている屋内作業場の気積が、設備の占める容積及び床面から4mを超える高さにある空間を除き400m3となっている。,ねずみ、昆虫等の発生場所、生息場所及び侵入経路並びにねずみ、昆虫等による被害の状況について、6か月以内ごとに1回、定期に、統一的に調査を実施し、その調査結果に基づき、必要な措置を講じている。,常時男性5人と女性25人の労働者が就業している事業場で、女性用の臥床できる休養室を設けているが、男性用には、休養室の代わりに休憩設備を利用させている。,事業場に附属する食堂の床面積を、食事の際の1人について、1.1m2となるようにしている。,労働者を常時就業させる場所の作業面の照度を、精密な作業については750ルクス、粗な作業については200ルクスとしている。,1,事業場の建築物、施設等に関する措置について、労働安全衛生規則の衛生基準に違反しているものは次のうちどれか。,衛生基準に違反しているのは①の「50人の気積が400m3」という記述です。1人当たり10m3必要で50人なら500m3が必要です。400m3は基準を下回るため違反です。
令和2年,10月,関係法令,26,1日8時間を超えて労働させることができるのは、時間外労働の労使協定を締結し、これを所轄労働基準監督署長に届け出た場合に限られている。,労働時間に関する規定の適用については、事業場を異にする場合は労働時間を通算しない。,所定労働時間が7時間30分である事業場において、延長する労働時間が1時間であるときは、少なくとも45分の休憩時間を労働時間の途中に与えなければならない。,監視又は断続的労働に従事する労働者であって、所轄労働基準監督署長の許可を受けたものについては、労働時間、休憩及び休日に関する規定は適用されない。,フレックスタイム制の清算期間は、6か月以内の期間に限られる。,4,労働基準法における労働時間等に関する次の記述のうち、正しいものはどれか。ただし、労使協定とは、「労働者の過半数で組織する労働組合(その労働組合がない場合は労働者の過半数を代表する者)と使用者との書面による協定」をいうものとする。,労働時間に関する規定で正しいのは④の時間単位の年次有給休暇についての記述です。1日8時間・週40時間を超えると時間外となる（①正）などの基本規定を確実に押さえることが重要です。
令和2年,10月,関係法令,27,生後満1年を超え、満2年に達しない生児を育てる女性労働者は、育児時間を請求することができる。,育児時間は、必ずしも有給としなくてもよい。,育児時間は、1日2回、1回当たり少なくとも30分の時間を請求することができる。,育児時間を請求しない女性労働者に対しては、育児時間を与えなくてもよい。,育児時間中は、育児時間を請求した女性労働者を使用してはならない。,1,労働基準法に定める育児時間に関する次の記述のうち、誤っているものはどれか。,育児時間に関して誤っているのは①の「生後満1年を超え満2年に達しない生児を育てる女性が請求できる」という記述です。育児時間を請求できるのは「生後満1歳未満」の生児を育てる女性のみです。満1歳を超えた場合は請求できません。有給でなくてもよい（②正）、1日2回30分以上（③正）、請求しない者には与えなくてよい（④正）、請求した時間に与える（⑤正）は正しい内容です。
令和2年,10月,労働衛生,28,心の健康については、客観的な測定方法が十分確立しておらず、また、心の健康問題の発生過程には個人差が大きく、そのプロセスの把握が難しいという特性がある。,心の健康づくり計画の実施に当たっては、メンタルヘルス不調を早期に発見する「一次予防」、適切な措置を行う「二次予防」及びメンタルヘルス不調となった労働者の職場復帰支援を行う「三次予防」が円滑に行われるようにする必要がある。,労働者の心の健康は、職場配置、人事異動、職場の組織などの要因によって影響を受けるため、メンタルヘルスケアは、人事労務管理と連携しなければ、適切に進まない場合が多いことに留意する。,「セルフケア」、「ラインによるケア」、「事業場内産業保健スタッフ等によるケア」及び「事業場外資源によるケア」の四つのケアを継続的かつ計画的に行う。,メンタルヘルスケアを推進するに当たって、労働者の個人情報を主治医等の医療職や家族から取得する際には、あらかじめこれらの情報を取得する目的を労働者に明らかにして承諾を得るとともに、これらの情報は労働者本人から提出を受けることが望ましい。,2,厚生労働省の「労働者の心の健康の保持増進のための指針」に基づくメンタルヘルスケアの実施に関する次の記述のうち、適切でないものはどれか。,メンタルヘルスケアに関して正しいのは②の四つのケアに関する記述です。問208と同じ論点で、四つのケアを継続的に推進することが基本です。
令和2年,10月,労働衛生,29,内臓8590,内臓9085,皮下8590,皮下9085,体9590,1,メタボリックシンドローム診断基準に関する次の文中の内に入れるAからCの語句又は数値の組合せとして、正しいものは,メタボリックシンドローム診断基準の正しい組み合わせは①の「A：内臓、B：85cm、C：90cm」です。内臓脂肪型肥満を判定するウエスト周囲径の基準は男性85cm以上、女性90cm以上です（A内臓、B85、C90）。皮下脂肪型ではなく内臓脂肪型であること、男性と女性の基準値の違いを正確に押さえておくことが重要です。
令和2年,10月,労働衛生,30,腰部保護ベルトは、全員に使用させるようにする。,重量物取扱い作業の場合、満18歳以上の男子労働者が人力のみで取り扱う物の重量は、体重のおおむね50%以下となるようにする。,重量物取扱い作業に常時従事する労働者に対しては、当該作業に配置する際及びその後1年以内ごとに1回、定期に、医師による腰痛の健康診断を行う。,立ち作業の場合は、身体を安定に保持するため、床面は弾力性のない硬い素材とし、クッション性のない作業靴を使用する。,腰掛け作業の場合の作業姿勢は、椅子に深く腰を掛けて、背もたれで体幹を支え、履物の足裏全体が床に接する姿勢を基本とする。,5,厚生労働省の「職場における腰痛予防対策指針」に基づく腰痛予防対策に関する次の記述のうち、正しいものはどれか。,腰痛予防対策で誤っているのは①の「腰部保護ベルトを全員に使用させる」という記述です。腰部保護ベルトは全員への使用義務はなく個人差があります。
令和2年,10月,労働衛生,31,虚血性心疾患は、門脈による心筋への血液の供給が不足したり途絶えることにより起こる心筋障害である。,虚血性心疾患発症の危険因子には、高血圧、喫煙、脂質異常症などがある。,虚血性心疾患は、心筋の一部分に可逆的虚血が起こる狭心症と、不可逆的な心筋壊死が起こる心筋梗塞とに大別される。,心筋梗塞では、突然激しい胸痛が起こり、「締め付けられるように痛い」、「胸が苦しい」などの症状が長時間続き、1時間以上になることもある。,狭心症の痛みの場所は、心筋梗塞とほぼ同じであるが、その発作が続く時間は、通常数分程度で、長くても15分以内におさまることが多い。,1,虚血性心疾患に関する次の記述のうち、誤っているものはどれか。,虚血性心疾患とは冠動脈が狭くなり心筋への血流が不足する病気で、狭心症と心筋梗塞に大別されます。運動負荷心電図検査は安静時には現れない心筋虚血を運動によって誘発して発見するもので、虚血性心疾患の発見にも有効です。「役立たない」とした①が誤りで正答です。危険因子には高血圧・喫煙・脂質異常症などがあります（②正）。
令和2年,10月,労働衛生,32,呼吸を確認して普段どおりの息(正常な呼吸)がない場合や約1分間観察しても判断できない場合は、心肺停止とみなし、心肺蘇生を開始する。,心肺蘇生は、胸骨圧迫のみではなく、必ず胸骨圧迫と人工呼吸を組み合わせて行う。,胸骨圧迫は、胸が約5cm沈む強さで胸骨の下半分を圧迫し、1分間に少なくとも60回のテンポで行う。,気道が確保されていない状態で人工呼吸を行うと、吹き込んだ息が胃に流入し、胃が膨張して内容物が口の方に逆流し気道閉塞を招くことがある。,口対口人工呼吸は、傷病者の鼻をつまみ、1回の吹き込みに3秒以上かけて行う。,4,一次救命処置に関する次の記述のうち、正しいものはどれか。,一次救命処置に関して正しいのは④の「胸骨圧迫は約5cm沈む強さで1分間100〜120回」という記述です。問30・195と同じテーマです。
令和2年,10月,労働衛生,33,サルモネラ菌による食中毒は、食品に付着した菌が食品中で増殖した際に生じる毒素により発症する。,ボツリヌス菌による毒素は、神経毒である。,黄色ブドウ球菌による毒素は、熱に強い。,腸炎ビブリオ菌は、病原性好塩菌ともいわれる。,ウェルシュ菌、セレウス菌及びカンピロバクターは、いずれも細菌性食中毒の原因菌である。,1,食中毒に関する次の記述のうち、誤っているものはどれか。,細菌性食中毒で誤っているのは①のサルモネラ菌の記述です。問209と同じ論点で、サルモネラ菌は感染型食中毒の原因菌です。
令和2年,10月,労働衛生,34,体内の全血液量は、体重の13分の1程度で、その約3分の1を短時間に失うと生命が危険な状態となる。,動脈性出血は、鮮紅色を呈する拍動性の出血で、出血量が多いため、早急に、細いゴムひもなどを止血帯として用いて止血する。,静脈性出血は、傷口からゆっくり持続的に湧き出るような出血で、通常、直接圧迫法で止血する。,内出血は、胸腔くう、腹腔などの体腔内や皮下などの軟部組織への出血で、血液が体外に流出しないものである。,間接圧迫法は、出血部位より心臓に近い部位の動脈を圧迫する方法で、それぞれの部位の止血点を指で骨に向けて強く圧迫するのがコツである。,2,出血及び止血法に関する次の記述のうち、誤っているものはどれか。,止血法で誤っているのは②の「動脈性出血は傷口からゆっくり湧き出る」という記述です。動脈性出血は鮮紅色で拍動性の出血であり、ゆっくり湧き出るのは静脈性出血の特徴です。
令和2年,10月,労働生理,35,赤血球数,ヘモグロビン量,白血球数,基礎代謝量,ヘマトクリット値,3,次のうち、正常値に男女による差がないとされているものはどれか。,正常値に男女差がないのは③の血小板数です。赤血球数（①）・ヘモグロビン量（②）・基礎代謝量（④）・ヘマトクリット値（⑤）はいずれも男性が女性より高い傾向があります。血小板数は止血機能に関わる血球成分であり、正常範囲（15〜40万/μL）に男女差はありません。男女差のある血液検査値と差がないものの区別は試験で問われる重要な事項です。
令和2年,10月,労働生理,36,心臓の中にある洞結節(洞房結節)で発生した刺激が、刺激伝導系を介して心筋に伝わることにより、心臓は規則正しく収縮と拡張を繰り返す。,体循環は、左心室から大動脈に入り、毛細血管を経て静脈血となり右心房に戻ってくる血液の循環である。,肺循環は、右心室から肺静脈を経て肺の毛細血管に入り、肺動脈を通って左心房に戻る血液の循環である。,心臓の拍動は、自律神経の支配を受けている。,大動脈及び肺静脈を流れる血液は、酸素に富む動脈血である。,3,心臓の働きと血液の循環に関する次の記述のうち、誤っているものはどれか。,血液の循環で誤っているのは③の肺循環の説明です。正しくは「右心室から肺動脈を経て肺の毛細血管に入り、肺静脈を通って左心房に戻る」であり、「肺静脈→肺の毛細血管→肺動脈」という③の記述は順序が逆で誤りです。洞結節からの刺激伝導（①正）、体循環の経路（②正）、心筋は不随意筋かつ横紋筋（④正）はいずれも正しい内容です。
令和2年,10月,労働生理,37,呼吸運動は、横隔膜、肋間筋などの呼吸筋が収縮と弛緩をすることにより行われる。,胸腔の容積が増し、内圧が低くなるにつれ、鼻腔、気管などの気道を経て肺内へ流れ込む空気が吸気である。,肺胞内の空気と肺胞を取り巻く毛細血管中の血液との間で行われるガス交換を外呼吸という。,通常の呼吸の場合の呼気には、酸素が約16%、二酸化炭素が約4%含まれる。,身体活動時には、血液中の窒素分圧の上昇により呼吸中枢が刺激され、1回換気量及び呼吸数が増加する。,5,呼吸に関する次の記述のうち、誤っているものはどれか。,呼吸に関して誤っているのは正答⑤です。呼吸中枢は血液中の二酸化炭素濃度の上昇だけでなく酸素濃度の低下によっても刺激されます。「二酸化炭素濃度のみによって調節される」という内容が誤りです。
令和2年,10月,労働生理,38,三大栄養素のうち、糖質はブドウ糖などに、蛋白質はアミノ酸に、脂肪は脂肪酸とグリセリンに、酵素により分解され、吸収される。,無機塩及びビタミン類は、酵素による分解を受けないでそのまま吸収される。,胆汁はアルカリ性で、蛋白質を分解するトリプシンなどの消化酵素を含んでいる。,胃は、塩酸やペプシノーゲンを分泌して消化を助けるが、水分の吸収はほとんど行わない。,吸収された栄養分は、血液やリンパによって組織に運搬されてエネルギー源などとして利用される。,3,消化器系に関する次の記述のうち、誤っているものはどれか。,消化器系で誤っているのは③の「膵液には消化酵素が含まれていない」という記述です。膵液にはアミラーゼ（糖質分解）・リパーゼ（脂質分解）・トリプシン（蛋白質分解）などの消化酵素が豊富に含まれています。「消化酵素が含まれていない」という記述が誤りです。三大栄養素の消化産物（①正）、無機塩・ビタミンの吸収（②正）、ペプシノーゲンの活性化（④正）はいずれも正しい内容です。
