question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,choice_5,correct,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point
261,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における休養に関する次の記述のうち、正しいものはどれか。,,,,,,適切な休養は、疲労の回復や作業能率の維持に役立つ。,栄養管理では、特定の栄養素だけを無制限に摂取すればよい。,人間工学は、人の特性を無視して機械に合わせることだけを目的とする。,職場巡視は、衛生管理上の問題を見つけないために行う。,換気は、室内の汚染物質濃度を常に上昇させるために行う。,1,正しいものは1番です。適切な休養は蓄積した疲労を回復させ、作業能率や健康の維持に役立ちます。2は特定の栄養素だけを無制限に摂取するのは適切でないため誤り、3は人間工学は機械を人の特性に合わせる考え方であり機械優先とする点で誤り、4は職場巡視は問題を発見するために行うため誤り、5は換気は汚染物質濃度を下げるために行うため誤りです。,,,,
262,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における休養に関する次の記述のうち、誤っているものはどれか。,,,,,,快適な職場環境づくりは、作業環境や作業方法の改善と関係する。,事務所では、空気環境、照明、温熱条件などを適切に管理することが必要である。,温熱条件には、気温、湿度、気流、ふく射熱などが関係する。,休養を全く取らないほど、疲労は必ず回復する。,VDT作業では、画面の映り込みを防ぎ、自然な姿勢で作業できる配置が望ましい。,4,誤っているものは4番です。疲労は適切な休養によって回復するものであり、休養を全く取らないほど疲労が回復するという4は事実に反するため誤りです。1の快適職場環境づくりと作業環境・方法の改善との関係、2の事務所での空気環境・照明・温熱条件の管理、3の温熱条件が気温・湿度・気流・ふく射熱で決まること、5のVDT作業での映り込み防止と自然な姿勢の確保は、いずれも正しい記述です。,,,,
263,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における休養に関する次の記述のうち、適切なものはどれか。,,,,,,快適職場づくりは、労働衛生とは全く関係がない。,事務所では、空気環境や照明を管理する必要は全くない。,温熱条件は、気温だけで決まり、湿度や気流は関係しない。,VDT作業では、画面への強い映り込みを増やすほど眼の負担が減る。,適切な休養は、疲労の回復や作業能率の維持に役立つ。,5,適切なものは5番です。適切な休養は疲労の回復や作業能率の維持に役立ちます。1は快適職場づくりは労働衛生と関係するため誤り、2は事務所でも空気環境や照明の管理が必要なため誤り、3は温熱条件は湿度や気流も関係するため気温だけとする点で誤り、4はVDT作業での画面への映り込みは眼の負担を増やすため、映り込みを増やすほど負担が減るとする点で誤りです。,,,,
264,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における休養に関する次の記述のうち、不適切なものはどれか。,,,,,,同一姿勢が長時間続く作業では、姿勢変化や休憩を取り入れることが望ましい。,保健指導は、健康診断結果などに基づき生活習慣の改善を支援する。,休養を全く取らないほど、疲労は必ず回復する。,作業に適した照度を確保することは、眼の疲労や作業ミスの防止に役立つ。,職場のメンタルヘルス対策では、一次予防、早期発見、職場復帰支援などが重要である。,3,不適切なものは3番です。疲労は適切な休養によって回復するものであり、休養を全く取らないほど疲労が回復するという3は誤りです。1の同一姿勢作業での姿勢変化や休憩、2の健診結果に基づく保健指導、4の作業に適した照度確保、5のメンタルヘルス対策での一次予防・早期発見・職場復帰支援は、いずれも適切な記述です。,,,,
265,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における運動に関する次の記述のうち、正しいものはどれか。,,,,,,睡眠衛生では、睡眠時間を常にゼロにすることが推奨される。,適度な運動は、生活習慣病予防や体力維持に役立つ。,同一姿勢を長時間続けるほど、筋骨格系の負担は常にゼロになる。,保健指導は、労働者の健康保持や生活習慣の改善支援とは全く関係がない。,精密作業では、照度をできるだけ低くするほど作業しやすい。,2,正しいものは2番です。適度な運動は生活習慣病の予防や体力・健康の維持増進に役立ちます。1は睡眠時間をゼロにすることは推奨されないため誤り、3は同一姿勢の長時間継続は筋骨格系の負担を増すため誤り、4は保健指導は健康保持や生活習慣改善支援に関係するため誤り、5は精密作業ほど高い照度が必要であり照度を低くするほど作業しやすいとする点で誤りです。,,,,
266,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における運動に関する次の記述のうち、誤っているものはどれか。,,,,,,人間工学は、作業を人の特性に合わせて設計する考え方である。,職場巡視は、作業環境や作業方法の問題点を把握する機会となる。,換気は、室内の汚染空気を排出し、新鮮な空気を取り入れるために行う。,重量物取扱いでは、作業姿勢、重量、作業頻度などを考慮して腰部負担を減らす。,運動は健康保持に全く関係せず、常に有害である。,5,誤っているものは5番です。適度な運動は生活習慣病の予防や体力維持など健康保持増進に役立つため、「全く関係せず、常に有害」とする5は明白に誤りです。1の人間工学（作業を人の特性に合わせて設計する考え方）、2の職場巡視（作業環境・作業方法の問題点を把握する機会）、3の換気（汚染空気を排出し新鮮な空気を取り入れる）、4の重量物取扱い（姿勢・重量・頻度を考慮し腰部負担を軽減）は、いずれも正しい記述です。,,,,
267,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における運動に関する次の記述のうち、適切なものはどれか。,,,,,,適度な運動は、生活習慣病予防や体力維持に役立つ。,人間工学は、人の特性を無視して機械に合わせることだけを目的とする。,職場巡視は、衛生管理上の問題を見つけないために行う。,換気は、室内の汚染物質濃度を常に上昇させるために行う。,重量物取扱いでは、腰を大きくひねった姿勢を維持するほど腰痛を予防できる。,1,適切なものは1番です。適度な運動は生活習慣病の予防や体力維持に役立ち、健康保持増進に資するからです。2は人間工学が「作業を人の特性に合わせる」考え方であり、機械に合わせることだけが目的ではないため誤り。3の職場巡視は問題を見つけて改善するために行うものであり「見つけないために行う」は誤り。4の換気は汚染物質濃度を下げるために行うもので「常に上昇させる」は逆。5は腰を大きくひねった姿勢の維持は腰痛の原因であり予防にはならず誤りです。,,,,
268,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における運動に関する次の記述のうち、不適切なものはどれか。,,,,,,事務所では、空気環境、照明、温熱条件などを適切に管理することが必要である。,温熱条件には、気温、湿度、気流、ふく射熱などが関係する。,VDT作業では、画面の映り込みを防ぎ、自然な姿勢で作業できる配置が望ましい。,運動は健康保持に全く関係せず、常に有害である。,ストレスチェックは、労働者自身のストレスへの気付きを促す目的も持つ。,4,不適切なものは4番です。適度な運動は健康保持増進に役立つものであり、「全く関係せず、常に有害」とする4は誤りです。1の事務所での空気環境・照明・温熱条件の適切な管理、2の温熱条件（気温・湿度・気流・ふく射熱が関係）、3のVDT作業での映り込み防止と自然な姿勢での作業配置、5のストレスチェックによる本人のストレスへの気付き促進は、いずれも適切な記述です。,,,,
269,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における栄養に関する次の記述のうち、正しいものはどれか。,,,,,,快適職場づくりは、労働衛生とは全く関係がない。,事務所では、空気環境や照明を管理する必要は全くない。,栄養管理では、エネルギー摂取量と栄養バランスを考慮する。,温熱条件は、気温だけで決まり、湿度や気流は関係しない。,VDT作業では、画面への強い映り込みを増やすほど眼の負担が減る。,3,正しいものは3番です。栄養管理ではエネルギー摂取量（量）と栄養バランス（質）の両面を考慮することが基本だからです。1の快適職場づくりは労働衛生と密接に関係するため「全く関係がない」は誤り。2の事務所の空気環境・照明の管理は必要であり「必要は全くない」は誤り。4の温熱条件は気温だけでなく湿度・気流・ふく射熱も関係するため誤り。5は映り込みが増えると眼の負担はむしろ大きくなるため誤りです。,,,,
270,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における栄養に関する次の記述のうち、誤っているものはどれか。,,,,,,栄養管理では、特定の栄養素だけを無制限に摂取すればよい。,同一姿勢が長時間続く作業では、姿勢変化や休憩を取り入れることが望ましい。,保健指導は、健康診断結果などに基づき生活習慣の改善を支援する。,作業に適した照度を確保することは、眼の疲労や作業ミスの防止に役立つ。,職場のメンタルヘルス対策では、一次予防、早期発見、職場復帰支援などが重要である。,1,誤っているものは1番です。栄養管理は特定の栄養素を無制限に摂るのではなく、量と質のバランスを考えることが基本であり、1は明らかに不適切です。2の同一姿勢が長時間続く作業での姿勢変化・休憩の導入、3の健康診断結果などに基づく保健指導、4の作業に適した照度確保による眼の疲労・作業ミスの防止、5のメンタルヘルス対策（一次予防・早期発見・職場復帰支援）は、いずれも正しい記述です。,,,,
271,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における栄養に関する次の記述のうち、適切なものはどれか。,,,,,,同一姿勢を長時間続けるほど、筋骨格系の負担は常にゼロになる。,栄養管理では、エネルギー摂取量と栄養バランスを考慮する。,保健指導は、労働者の健康保持や生活習慣の改善支援とは全く関係がない。,精密作業では、照度をできるだけ低くするほど作業しやすい。,メンタルヘルス対策は、職場環境の改善とは全く関係がない。,2,適切なものは2番です。栄養管理ではエネルギー摂取量と栄養バランス、すなわち量と質の両面を考慮することが基本だからです。1は同一姿勢を長時間続けると筋骨格系の負担はむしろ増えるため誤り。3の保健指導は健康保持・生活習慣改善の支援そのものであり「全く関係がない」は誤り。4の精密作業では十分な照度が必要であり、照度を低くするほど作業しやすいとするのは誤り。5のメンタルヘルス対策は職場環境の改善と密接に関係するため誤りです。,,,,
272,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における栄養に関する次の記述のうち、不適切なものはどれか。,,,,,,職場巡視は、作業環境や作業方法の問題点を把握する機会となる。,換気は、室内の汚染空気を排出し、新鮮な空気を取り入れるために行う。,重量物取扱いでは、作業姿勢、重量、作業頻度などを考慮して腰部負担を減らす。,受動喫煙対策は、職場の空気環境管理における重要な課題である。,栄養管理では、特定の栄養素だけを無制限に摂取すればよい。,5,不適切なものは5番です。栄養管理は特定の栄養素を無制限に摂取するのではなく、量と質のバランスを考えることが基本であり、5は明らかに誤りです。1の職場巡視による問題点把握、2の換気（汚染空気の排出と新鮮空気の取入れ）、3の重量物取扱いでの腰部負担軽減、4の受動喫煙対策が職場の空気環境管理の重要課題であることは、いずれも正しい記述です。,,,,
273,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における睡眠衛生に関する次の記述のうち、正しいものはどれか。,,,,,,人間工学は、人の特性を無視して機械に合わせることだけを目的とする。,職場巡視は、衛生管理上の問題を見つけないために行う。,換気は、室内の汚染物質濃度を常に上昇させるために行う。,睡眠衛生では、規則的な生活リズムや睡眠環境の整備が重要である。,重量物取扱いでは、腰を大きくひねった姿勢を維持するほど腰痛を予防できる。,4,正しいものは4番です。睡眠衛生では、質のよい睡眠を確保するための規則的な生活リズムや睡眠環境の整備が重要だからです。1は人間工学が作業を人の特性に合わせる考え方であり「機械に合わせることだけが目的」は誤り。2は職場巡視が問題を発見・改善するために行うもので「見つけないために行う」は誤り。3は換気が汚染物質濃度を下げるために行うもので「常に上昇させる」は逆。5は腰を大きくひねった姿勢の維持が腰痛の原因となるため誤りです。,,,,
274,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における睡眠衛生に関する次の記述のうち、誤っているものはどれか。,,,,,,事務所では、空気環境、照明、温熱条件などを適切に管理することが必要である。,睡眠衛生では、睡眠時間を常にゼロにすることが推奨される。,温熱条件には、気温、湿度、気流、ふく射熱などが関係する。,VDT作業では、画面の映り込みを防ぎ、自然な姿勢で作業できる配置が望ましい。,ストレスチェックは、労働者自身のストレスへの気付きを促す目的も持つ。,2,誤っているものは2番です。睡眠衛生は質のよい睡眠を確保するための工夫であり、睡眠時間をゼロにすることが推奨されることはなく、2は明白に誤りです。1の事務所での空気環境・照明・温熱条件の管理、3の温熱条件（気温・湿度・気流・ふく射熱が関係）、4のVDT作業での映り込み防止と自然な姿勢での配置、5のストレスチェックによる本人の気付き促進は、いずれも正しい記述です。,,,,
275,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における睡眠衛生に関する次の記述のうち、適切なものはどれか。,,,,,,事務所では、空気環境や照明を管理する必要は全くない。,温熱条件は、気温だけで決まり、湿度や気流は関係しない。,睡眠衛生では、規則的な生活リズムや睡眠環境の整備が重要である。,VDT作業では、画面への強い映り込みを増やすほど眼の負担が減る。,ストレスチェックは、労働者の視力だけを測定する制度である。,3,適切なものは3番です。睡眠衛生では、規則的な生活リズムや睡眠環境の整備が重要だからです。1は事務所でも空気環境・照明の管理は必要であり「必要は全くない」は誤り。2は温熱条件が気温だけでなく湿度・気流も関係するため誤り。4は映り込みが増えると眼の負担はむしろ大きくなるため誤り。5のストレスチェックは心理的な負担の程度を調べる制度であり視力測定ではないため誤りです。,,,,
276,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における睡眠衛生に関する次の記述のうち、不適切なものはどれか。,,,,,,睡眠衛生では、睡眠時間を常にゼロにすることが推奨される。,保健指導は、健康診断結果などに基づき生活習慣の改善を支援する。,作業に適した照度を確保することは、眼の疲労や作業ミスの防止に役立つ。,職場のメンタルヘルス対策では、一次予防、早期発見、職場復帰支援などが重要である。,職場の感染症対策では、手洗い、換気、体調不良時の対応などが重要である。,1,不適切なものは1番です。睡眠衛生は質のよい睡眠を確保するための工夫であり、睡眠時間をゼロにすることが推奨されることはなく、1は明白に誤りです。2の健康診断結果などに基づく保健指導、3の作業に適した照度確保による眼の疲労・作業ミス防止、4のメンタルヘルス対策（一次予防・早期発見・職場復帰支援）、5の感染症対策（手洗い・換気・体調不良時の対応）は、いずれも正しい記述です。,,,,
277,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における快適職場に関する次の記述のうち、正しいものはどれか。,,,,,,同一姿勢を長時間続けるほど、筋骨格系の負担は常にゼロになる。,保健指導は、労働者の健康保持や生活習慣の改善支援とは全く関係がない。,精密作業では、照度をできるだけ低くするほど作業しやすい。,メンタルヘルス対策は、職場環境の改善とは全く関係がない。,快適な職場環境づくりは、作業環境や作業方法の改善と関係する。,5,正しいものは5番です。快適な職場環境づくりは作業環境や作業方法の改善と密接に関係する取り組みだからです。1は同一姿勢を長時間続けると筋骨格系の負担はむしろ増えるため誤り。2の保健指導は健康保持・生活習慣改善の支援そのものであり「全く関係がない」は誤り。3の精密作業では十分な照度が必要で、照度を低くするほど作業しやすいとするのは誤り。4のメンタルヘルス対策は職場環境の改善と関係するため誤りです。,,,,
278,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における快適職場に関する次の記述のうち、誤っているものはどれか。,,,,,,職場巡視は、作業環境や作業方法の問題点を把握する機会となる。,換気は、室内の汚染空気を排出し、新鮮な空気を取り入れるために行う。,快適職場づくりは、労働衛生とは全く関係がない。,重量物取扱いでは、作業姿勢、重量、作業頻度などを考慮して腰部負担を減らす。,受動喫煙対策は、職場の空気環境管理における重要な課題である。,3,誤っているものは3番です。快適職場づくりは健康保持や作業性の向上に関わる労働衛生上の重要な取り組みであり、「全く関係がない」とする3は明白に誤りです。1の職場巡視による問題点把握、2の換気（汚染空気の排出と新鮮空気の取入れ）、4の重量物取扱いでの腰部負担軽減、5の受動喫煙対策が職場の空気環境管理の重要課題であることは、いずれも正しい記述です。,,,,
279,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における快適職場に関する次の記述のうち、適切なものはどれか。,,,,,,職場巡視は、衛生管理上の問題を見つけないために行う。,換気は、室内の汚染物質濃度を常に上昇させるために行う。,重量物取扱いでは、腰を大きくひねった姿勢を維持するほど腰痛を予防できる。,快適な職場環境づくりは、作業環境や作業方法の改善と関係する。,受動喫煙は、喫煙者以外の健康には全く影響しない。,4,適切なものは4番です。快適な職場環境づくりは作業環境や作業方法の改善と密接に関係する取り組みだからです。1の職場巡視は問題を発見・改善するために行うもので「見つけないために行う」は誤り。2の換気は汚染物質濃度を下げるために行うもので「常に上昇させる」は逆。3は腰を大きくひねった姿勢の維持が腰痛の原因となるため誤り。5の受動喫煙は喫煙者以外の健康にも悪影響を及ぼすため誤りです。,,,,
280,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における快適職場に関する次の記述のうち、不適切なものはどれか。,,,,,,温熱条件には、気温、湿度、気流、ふく射熱などが関係する。,快適職場づくりは、労働衛生とは全く関係がない。,VDT作業では、画面の映り込みを防ぎ、自然な姿勢で作業できる配置が望ましい。,ストレスチェックは、労働者自身のストレスへの気付きを促す目的も持つ。,定期健康診断は、労働者の健康状態を継続的に把握するために行われる。,2,不適切なものは2番です。快適職場づくりは健康保持や作業性の向上に関わる労働衛生上の重要な取り組みであり、「全く関係がない」とする2は明白に誤りです。1の温熱条件（気温・湿度・気流・ふく射熱が関係）、3のVDT作業での映り込み防止と自然な姿勢での配置、4のストレスチェックによる本人の気付き促進、5の定期健康診断による健康状態の継続的把握は、いずれも正しい記述です。,,,,
281,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における人間工学に関する次の記述のうち、正しいものはどれか。,,,,,,人間工学は、作業を人の特性に合わせて設計する考え方である。,事務所では、空気環境や照明を管理する必要は全くない。,温熱条件は、気温だけで決まり、湿度や気流は関係しない。,VDT作業では、画面への強い映り込みを増やすほど眼の負担が減る。,ストレスチェックは、労働者の視力だけを測定する制度である。,1,正しいものは1番です。人間工学は、機械や作業を人間の身体的・心理的特性に合わせて設計し、負担やミスを減らそうとする考え方であり、1の記述はこれに合致します。2は、事務所でも空気環境や照明の管理は必要であり「全く必要ない」とするのは誤りです。3は、温熱条件は気温だけでなく湿度・気流・ふく射熱も関係するため誤りです。4は、画面への強い映り込みはまぶしさを生み眼の負担を増やすため、増やすほど負担が減るとするのは誤りです。5は、ストレスチェックは心理的負担の程度を把握する制度であり、視力だけを測定するものではないので誤りです。,,,,
282,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における人間工学に関する次の記述のうち、誤っているものはどれか。,,,,,,保健指導は、健康診断結果などに基づき生活習慣の改善を支援する。,作業に適した照度を確保することは、眼の疲労や作業ミスの防止に役立つ。,職場のメンタルヘルス対策では、一次予防、早期発見、職場復帰支援などが重要である。,人間工学は、人の特性を無視して機械に合わせることだけを目的とする。,職場の感染症対策では、手洗い、換気、体調不良時の対応などが重要である。,4,誤っているものは4番です。人間工学は、人の特性を無視して機械に合わせることを目的とするのではなく、逆に作業や機械を人の特性に合わせて設計する考え方なので、4は誤りです。1の健康診断結果等に基づく生活習慣改善の保健指導、2の適切な照度確保による眼の疲労・作業ミスの防止、3のメンタルヘルス対策における一次予防・早期発見・職場復帰支援、5の手洗い・換気・体調不良時の対応といった感染症対策は、いずれも正しい記述です。,,,,
283,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における人間工学に関する次の記述のうち、適切なものはどれか。,,,,,,保健指導は、労働者の健康保持や生活習慣の改善支援とは全く関係がない。,精密作業では、照度をできるだけ低くするほど作業しやすい。,メンタルヘルス対策は、職場環境の改善とは全く関係がない。,感染症対策では、換気や手指衛生は不要である。,人間工学は、作業を人の特性に合わせて設計する考え方である。,5,適切なものは5番です。人間工学は作業を人の特性に合わせて設計する考え方であり、5が正しい記述です。1は、保健指導は健康保持や生活習慣の改善支援と密接に関係するため「全く関係がない」とするのは誤りです。2は、精密作業ほど高い照度が必要であり、照度を低くするほど作業しやすいとするのは誤りです。3は、メンタルヘルス対策は職場環境の改善と深く関係するため誤りです。4は、感染症対策において換気や手指衛生は基本的かつ重要であり、不要とするのは誤りです。,,,,
284,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における人間工学に関する次の記述のうち、不適切なものはどれか。,,,,,,換気は、室内の汚染空気を排出し、新鮮な空気を取り入れるために行う。,重量物取扱いでは、作業姿勢、重量、作業頻度などを考慮して腰部負担を減らす。,人間工学は、人の特性を無視して機械に合わせることだけを目的とする。,受動喫煙対策は、職場の空気環境管理における重要な課題である。,健康診断の結果に異常所見がある場合、必要に応じて就業上の措置を検討する。,3,不適切なものは3番です。人間工学は、人の特性を無視して機械に合わせることを目的とするのではなく、作業や機械を人の特性に合わせる考え方なので、3は誤りです。1の汚染空気を排出し新鮮な空気を取り入れる換気の目的、2の重量物取扱いで作業姿勢・重量・作業頻度を考慮した腰部負担の軽減、4の空気環境管理における受動喫煙対策、5の異常所見がある場合の就業上の措置の検討は、いずれも適切な記述です。,,,,
285,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における作業姿勢に関する次の記述のうち、正しいものはどれか。,,,,,,職場巡視は、衛生管理上の問題を見つけないために行う。,同一姿勢が長時間続く作業では、姿勢変化や休憩を取り入れることが望ましい。,換気は、室内の汚染物質濃度を常に上昇させるために行う。,重量物取扱いでは、腰を大きくひねった姿勢を維持するほど腰痛を予防できる。,受動喫煙は、喫煙者以外の健康には全く影響しない。,2,正しいものは2番です。同一姿勢が長時間続く作業では筋骨格系への負担が大きいため、姿勢変化や休憩を取り入れることが望ましく、2が正しい記述です。1は、職場巡視は衛生管理上の問題を見つけて改善するために行うものであり「見つけないために行う」とするのは誤りです。3は、換気は汚染物質を排出して濃度を下げるために行うものであり、濃度を上昇させるためとするのは誤りです。4は、腰を大きくひねった姿勢の維持はむしろ腰痛の原因になるので誤りです。5は、受動喫煙は非喫煙者の健康にも悪影響を及ぼすため、全く影響しないとするのは誤りです。,,,,
286,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における作業姿勢に関する次の記述のうち、誤っているものはどれか。,,,,,,温熱条件には、気温、湿度、気流、ふく射熱などが関係する。,VDT作業では、画面の映り込みを防ぎ、自然な姿勢で作業できる配置が望ましい。,ストレスチェックは、労働者自身のストレスへの気付きを促す目的も持つ。,定期健康診断は、労働者の健康状態を継続的に把握するために行われる。,同一姿勢を長時間続けるほど、筋骨格系の負担は常にゼロになる。,5,誤っているものは5番です。同一姿勢を長時間続けると筋骨格系の負担はむしろ増大し、負担がゼロになることはないため、5は誤りです。1の温熱条件には気温・湿度・気流・ふく射熱が関係する点、2のVDT作業での映り込み防止と自然な姿勢での作業配置、3のストレスチェックによる労働者自身の気付きの促進、4の定期健康診断による健康状態の継続的把握は、いずれも正しい記述です。,,,,
287,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における作業姿勢に関する次の記述のうち、適切なものはどれか。,,,,,,同一姿勢が長時間続く作業では、姿勢変化や休憩を取り入れることが望ましい。,温熱条件は、気温だけで決まり、湿度や気流は関係しない。,VDT作業では、画面への強い映り込みを増やすほど眼の負担が減る。,ストレスチェックは、労働者の視力だけを測定する制度である。,定期健康診断は、作業場の照度を測定するためだけに行われる。,1,適切なものは1番です。同一姿勢が長時間続く作業では負担が大きいため、姿勢変化や休憩を取り入れることが望ましく、1が正しい記述です。2は、温熱条件は気温だけでなく湿度・気流・ふく射熱も関係するため誤りです。3は、画面への強い映り込みは眼の負担を増やすため、増やすほど負担が減るとするのは誤りです。4は、ストレスチェックは心理的負担の程度を把握する制度であり、視力だけを測定するものではないので誤りです。5は、定期健康診断は労働者の健康状態を把握するために行うものであり、作業場の照度測定のためのものではないので誤りです。,,,,
288,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における作業姿勢に関する次の記述のうち、不適切なものはどれか。,,,,,,作業に適した照度を確保することは、眼の疲労や作業ミスの防止に役立つ。,職場のメンタルヘルス対策では、一次予防、早期発見、職場復帰支援などが重要である。,職場の感染症対策では、手洗い、換気、体調不良時の対応などが重要である。,同一姿勢を長時間続けるほど、筋骨格系の負担は常にゼロになる。,作業管理では、作業方法や作業時間などを見直して労働者の負担を減らす。,4,不適切なものは4番です。同一姿勢を長時間続けても筋骨格系の負担がゼロになることはなく、むしろ負担は増大するため、4は誤りです。1の適切な照度確保による眼の疲労・作業ミスの防止、2のメンタルヘルス対策における一次予防・早期発見・職場復帰支援、3の手洗い・換気・体調不良時の対応といった感染症対策、5の作業方法や作業時間の見直しによる労働者の負担軽減は、いずれも適切な記述です。,,,,
289,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における事務所衛生に関する次の記述のうち、正しいものはどれか。,,,,,,保健指導は、労働者の健康保持や生活習慣の改善支援とは全く関係がない。,精密作業では、照度をできるだけ低くするほど作業しやすい。,事務所では、空気環境、照明、温熱条件などを適切に管理することが必要である。,メンタルヘルス対策は、職場環境の改善とは全く関係がない。,感染症対策では、換気や手指衛生は不要である。,3,正しいものは3番です。事務所でも快適で健康的な作業環境を保つため、空気環境・照明・温熱条件などを適切に管理する必要があり、3が正しい記述です。1は、保健指導は健康保持や生活習慣の改善支援と密接に関係するため「全く関係がない」とするのは誤りです。2は、精密作業ほど高い照度が必要であり、照度を低くするほど作業しやすいとするのは誤りです。4は、メンタルヘルス対策は職場環境の改善と関係するため誤りです。5は、感染症対策において換気や手指衛生は重要であり、不要とするのは誤りです。,,,,
290,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における事務所衛生に関する次の記述のうち、誤っているものはどれか。,,,,,,事務所では、空気環境や照明を管理する必要は全くない。,換気は、室内の汚染空気を排出し、新鮮な空気を取り入れるために行う。,重量物取扱いでは、作業姿勢、重量、作業頻度などを考慮して腰部負担を減らす。,受動喫煙対策は、職場の空気環境管理における重要な課題である。,健康診断の結果に異常所見がある場合、必要に応じて就業上の措置を検討する。,1,誤っているものは1番です。事務所でも空気環境や照明の管理は必要であり、管理する必要が全くないとする1は誤りです。2の汚染空気を排出し新鮮な空気を取り入れる換気の目的、3の重量物取扱いで作業姿勢・重量・作業頻度を考慮した腰部負担の軽減、4の空気環境管理における受動喫煙対策の重要性、5の異常所見がある場合の就業上の措置の検討は、いずれも正しい記述です。,,,,
291,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における事務所衛生に関する次の記述のうち、適切なものはどれか。,,,,,,換気は、室内の汚染物質濃度を常に上昇させるために行う。,事務所では、空気環境、照明、温熱条件などを適切に管理することが必要である。,重量物取扱いでは、腰を大きくひねった姿勢を維持するほど腰痛を予防できる。,受動喫煙は、喫煙者以外の健康には全く影響しない。,健康診断の結果は、異常所見があっても一切確認してはならない。,2,適切なものは2番です。事務所では空気環境・照明・温熱条件などを適切に管理することが必要であり、2が正しい記述です。1は、換気は汚染物質濃度を下げるために行うものであり、常に上昇させるためとするのは誤りです。3は、腰を大きくひねった姿勢の維持はむしろ腰痛の原因になるので誤りです。4は、受動喫煙は非喫煙者の健康に影響するため、全く影響しないとするのは誤りです。5は、健康診断結果に異常所見があれば確認して必要な対応をすべきであり、一切確認してはならないとするのは誤りです。,,,,
292,single,労働衛生（有害業務）,演習;労働衛生,労働衛生(有害業務に係るもの以外のもの)における事務所衛生に関する次の記述のうち、不適切なものはどれか。,,,,,,VDT作業では、画面の映り込みを防ぎ、自然な姿勢で作業できる配置が望ましい。,ストレスチェックは、労働者自身のストレスへの気付きを促す目的も持つ。,定期健康診断は、労働者の健康状態を継続的に把握するために行われる。,作業環境管理では、作業場の物理的・化学的環境を改善する。,事務所では、空気環境や照明を管理する必要は全くない。,5,不適切なものは5番です。事務所でも空気環境や照明の管理は必要であり、管理する必要が全くないとする5は誤りです。1のVDT作業での映り込み防止と自然な姿勢で作業できる配置、2のストレスチェックによる労働者自身の気付きの促進、3の定期健康診断による健康状態の継続的把握、4の作業環境管理による作業場の物理的・化学的環境の改善は、いずれも適切な記述です。,,,,
