開催年数,問番号,科目,問,(1),(2),(3),(4),(5),正答番号,解説
オリジナル,282,労働衛生(有害業務に係るもの以外のもの),労働衛生(有害業務に係るもの以外のもの)における人間工学に関する次の記述のうち、誤っているものはどれか。,保健指導は、健康診断結果などに基づき生活習慣の改善を支援する。,作業に適した照度を確保することは、眼の疲労や作業ミスの防止に役立つ。,職場のメンタルヘルス対策では、一次予防、早期発見、職場復帰支援などが重要である。,人間工学は、人の特性を無視して機械に合わせることだけを目的とする。,職場の感染症対策では、手洗い、換気、体調不良時の対応などが重要である。,4,人間工学は人の身体的・心理的特性に配慮した作業設計に役立ちます。 したがって、誤っているものは4です。
オリジナル,283,労働衛生(有害業務に係るもの以外のもの),労働衛生(有害業務に係るもの以外のもの)における人間工学に関する次の記述のうち、適切なものはどれか。,保健指導は、労働者の健康保持や生活習慣の改善支援とは全く関係がない。,精密作業では、照度をできるだけ低くするほど作業しやすい。,メンタルヘルス対策は、職場環境の改善とは全く関係がない。,感染症対策では、換気や手指衛生は不要である。,人間工学は、作業を人の特性に合わせて設計する考え方である。,5,人間工学は人の身体的・心理的特性に配慮した作業設計に役立ちます。 したがって、正しいものは5です。
オリジナル,284,労働衛生(有害業務に係るもの以外のもの),労働衛生(有害業務に係るもの以外のもの)における人間工学に関する次の記述のうち、不適切なものはどれか。,換気は、室内の汚染空気を排出し、新鮮な空気を取り入れるために行う。,重量物取扱いでは、作業姿勢、重量、作業頻度などを考慮して腰部負担を減らす。,人間工学は、人の特性を無視して機械に合わせることだけを目的とする。,受動喫煙対策は、職場の空気環境管理における重要な課題である。,健康診断の結果に異常所見がある場合、必要に応じて就業上の措置を検討する。,3,人間工学は人の身体的・心理的特性に配慮した作業設計に役立ちます。 したがって、誤っているものは3です。
オリジナル,285,労働衛生(有害業務に係るもの以外のもの),労働衛生(有害業務に係るもの以外のもの)における作業姿勢に関する次の記述のうち、正しいものはどれか。,職場巡視は、衛生管理上の問題を見つけないために行う。,同一姿勢が長時間続く作業では、姿勢変化や休憩を取り入れることが望ましい。,換気は、室内の汚染物質濃度を常に上昇させるために行う。,重量物取扱いでは、腰を大きくひねった姿勢を維持するほど腰痛を予防できる。,受動喫煙は、喫煙者以外の健康には全く影響しない。,2,長時間同一姿勢は負担となるため、姿勢変化や休憩が重要です。 したがって、正しいものは2です。
オリジナル,286,労働衛生(有害業務に係るもの以外のもの),労働衛生(有害業務に係るもの以外のもの)における作業姿勢に関する次の記述のうち、誤っているものはどれか。,温熱条件には、気温、湿度、気流、ふく射熱などが関係する。,VDT作業では、画面の映り込みを防ぎ、自然な姿勢で作業できる配置が望ましい。,ストレスチェックは、労働者自身のストレスへの気付きを促す目的も持つ。,定期健康診断は、労働者の健康状態を継続的に把握するために行われる。,同一姿勢を長時間続けるほど、筋骨格系の負担は常にゼロになる。,5,長時間同一姿勢は負担となるため、姿勢変化や休憩が重要です。 したがって、誤っているものは5です。
オリジナル,287,労働衛生(有害業務に係るもの以外のもの),労働衛生(有害業務に係るもの以外のもの)における作業姿勢に関する次の記述のうち、適切なものはどれか。,同一姿勢が長時間続く作業では、姿勢変化や休憩を取り入れることが望ましい。,温熱条件は、気温だけで決まり、湿度や気流は関係しない。,VDT作業では、画面への強い映り込みを増やすほど眼の負担が減る。,ストレスチェックは、労働者の視力だけを測定する制度である。,定期健康診断は、作業場の照度を測定するためだけに行われる。,1,長時間同一姿勢は負担となるため、姿勢変化や休憩が重要です。 したがって、正しいものは1です。
オリジナル,288,労働衛生(有害業務に係るもの以外のもの),労働衛生(有害業務に係るもの以外のもの)における作業姿勢に関する次の記述のうち、不適切なものはどれか。,作業に適した照度を確保することは、眼の疲労や作業ミスの防止に役立つ。,職場のメンタルヘルス対策では、一次予防、早期発見、職場復帰支援などが重要である。,職場の感染症対策では、手洗い、換気、体調不良時の対応などが重要である。,同一姿勢を長時間続けるほど、筋骨格系の負担は常にゼロになる。,作業管理では、作業方法や作業時間などを見直して労働者の負担を減らす。,4,長時間同一姿勢は負担となるため、姿勢変化や休憩が重要です。 したがって、誤っているものは4です。
オリジナル,289,労働衛生(有害業務に係るもの以外のもの),労働衛生(有害業務に係るもの以外のもの)における事務所衛生に関する次の記述のうち、正しいものはどれか。,保健指導は、労働者の健康保持や生活習慣の改善支援とは全く関係がない。,精密作業では、照度をできるだけ低くするほど作業しやすい。,事務所では、空気環境、照明、温熱条件などを適切に管理することが必要である。,メンタルヘルス対策は、職場環境の改善とは全く関係がない。,感染症対策では、換気や手指衛生は不要である。,3,事務所でも快適で健康的な作業環境を保つ管理が求められます。 したがって、正しいものは3です。
オリジナル,290,労働衛生(有害業務に係るもの以外のもの),労働衛生(有害業務に係るもの以外のもの)における事務所衛生に関する次の記述のうち、誤っているものはどれか。,事務所では、空気環境や照明を管理する必要は全くない。,換気は、室内の汚染空気を排出し、新鮮な空気を取り入れるために行う。,重量物取扱いでは、作業姿勢、重量、作業頻度などを考慮して腰部負担を減らす。,受動喫煙対策は、職場の空気環境管理における重要な課題である。,健康診断の結果に異常所見がある場合、必要に応じて就業上の措置を検討する。,1,事務所でも快適で健康的な作業環境を保つ管理が求められます。 したがって、誤っているものは1です。
オリジナル,291,労働衛生(有害業務に係るもの以外のもの),労働衛生(有害業務に係るもの以外のもの)における事務所衛生に関する次の記述のうち、適切なものはどれか。,換気は、室内の汚染物質濃度を常に上昇させるために行う。,事務所では、空気環境、照明、温熱条件などを適切に管理することが必要である。,重量物取扱いでは、腰を大きくひねった姿勢を維持するほど腰痛を予防できる。,受動喫煙は、喫煙者以外の健康には全く影響しない。,健康診断の結果は、異常所見があっても一切確認してはならない。,2,事務所でも快適で健康的な作業環境を保つ管理が求められます。 したがって、正しいものは2です。
オリジナル,292,労働衛生(有害業務に係るもの以外のもの),労働衛生(有害業務に係るもの以外のもの)における事務所衛生に関する次の記述のうち、不適切なものはどれか。,VDT作業では、画面の映り込みを防ぎ、自然な姿勢で作業できる配置が望ましい。,ストレスチェックは、労働者自身のストレスへの気付きを促す目的も持つ。,定期健康診断は、労働者の健康状態を継続的に把握するために行われる。,作業環境管理では、作業場の物理的・化学的環境を改善する。,事務所では、空気環境や照明を管理する必要は全くない。,5,事務所でも快適で健康的な作業環境を保つ管理が求められます。 したがって、誤っているものは5です。
オリジナル,293,労働衛生(有害業務に係るもの以外のもの),労働衛生(有害業務に係るもの以外のもの)における職場巡視に関する次の記述のうち、正しいものはどれか。,温熱条件は、気温だけで決まり、湿度や気流は関係しない。,VDT作業では、画面への強い映り込みを増やすほど眼の負担が減る。,ストレスチェックは、労働者の視力だけを測定する制度である。,職場巡視は、作業環境や作業方法の問題点を把握する機会となる。,定期健康診断は、作業場の照度を測定するためだけに行われる。,4,職場巡視により、現場のリスクや改善点を把握できます。 したがって、正しいものは4です。
オリジナル,294,労働衛生(有害業務に係るもの以外のもの),労働衛生(有害業務に係るもの以外のもの)における職場巡視に関する次の記述のうち、誤っているものはどれか。,作業に適した照度を確保することは、眼の疲労や作業ミスの防止に役立つ。,職場巡視は、衛生管理上の問題を見つけないために行う。,職場のメンタルヘルス対策では、一次予防、早期発見、職場復帰支援などが重要である。,職場の感染症対策では、手洗い、換気、体調不良時の対応などが重要である。,作業管理では、作業方法や作業時間などを見直して労働者の負担を減らす。,2,職場巡視により、現場のリスクや改善点を把握できます。 したがって、誤っているものは2です。
オリジナル,295,労働衛生(有害業務に係るもの以外のもの),労働衛生(有害業務に係るもの以外のもの)における職場巡視に関する次の記述のうち、適切なものはどれか。,精密作業では、照度をできるだけ低くするほど作業しやすい。,メンタルヘルス対策は、職場環境の改善とは全く関係がない。,職場巡視は、作業環境や作業方法の問題点を把握する機会となる。,感染症対策では、換気や手指衛生は不要である。,作業管理とは、作業者の健康状態を無視して作業量を増やすことである。,3,職場巡視により、現場のリスクや改善点を把握できます。 したがって、正しいものは3です。
オリジナル,296,労働衛生(有害業務に係るもの以外のもの),労働衛生(有害業務に係るもの以外のもの)における職場巡視に関する次の記述のうち、不適切なものはどれか。,職場巡視は、衛生管理上の問題を見つけないために行う。,重量物取扱いでは、作業姿勢、重量、作業頻度などを考慮して腰部負担を減らす。,受動喫煙対策は、職場の空気環境管理における重要な課題である。,健康診断の結果に異常所見がある場合、必要に応じて就業上の措置を検討する。,健康管理では、健康診断や保健指導などにより労働者の健康保持を図る。,1,職場巡視により、現場のリスクや改善点を把握できます。 したがって、誤っているものは1です。
オリジナル,297,労働衛生(有害業務に係るもの以外のもの),労働衛生(有害業務に係るもの以外のもの)における保健指導に関する次の記述のうち、正しいものはどれか。,換気は、室内の汚染物質濃度を常に上昇させるために行う。,重量物取扱いでは、腰を大きくひねった姿勢を維持するほど腰痛を予防できる。,受動喫煙は、喫煙者以外の健康には全く影響しない。,健康診断の結果は、異常所見があっても一切確認してはならない。,保健指導は、健康診断結果などに基づき生活習慣の改善を支援する。,5,保健指導は健康状態に応じた生活改善や受診勧奨に役立ちます。 したがって、正しいものは5です。
オリジナル,298,労働衛生(有害業務に係るもの以外のもの),労働衛生(有害業務に係るもの以外のもの)における保健指導に関する次の記述のうち、誤っているものはどれか。,VDT作業では、画面の映り込みを防ぎ、自然な姿勢で作業できる配置が望ましい。,ストレスチェックは、労働者自身のストレスへの気付きを促す目的も持つ。,保健指導は、労働者の健康保持や生活習慣の改善支援とは全く関係がない。,定期健康診断は、労働者の健康状態を継続的に把握するために行われる。,作業環境管理では、作業場の物理的・化学的環境を改善する。,3,保健指導は健康状態に応じた生活改善や受診勧奨に役立ちます。 したがって、誤っているものは3です。
オリジナル,299,労働衛生(有害業務に係るもの以外のもの),労働衛生(有害業務に係るもの以外のもの)における保健指導に関する次の記述のうち、適切なものはどれか。,VDT作業では、画面への強い映り込みを増やすほど眼の負担が減る。,ストレスチェックは、労働者の視力だけを測定する制度である。,定期健康診断は、作業場の照度を測定するためだけに行われる。,保健指導は、健康診断結果などに基づき生活習慣の改善を支援する。,作業環境管理では、作業場の環境を把握せずに放置する。,4,保健指導は健康状態に応じた生活改善や受診勧奨に役立ちます。 したがって、正しいものは4です。
オリジナル,300,労働衛生(有害業務に係るもの以外のもの),労働衛生(有害業務に係るもの以外のもの)における保健指導に関する次の記述のうち、不適切なものはどれか。,職場のメンタルヘルス対策では、一次予防、早期発見、職場復帰支援などが重要である。,保健指導は、労働者の健康保持や生活習慣の改善支援とは全く関係がない。,職場の感染症対策では、手洗い、換気、体調不良時の対応などが重要である。,作業管理では、作業方法や作業時間などを見直して労働者の負担を減らす。,整理、整頓、清掃、清潔、しつけは、職場環境の維持に役立つ。,2,保健指導は健康状態に応じた生活改善や受診勧奨に役立ちます。 したがって、誤っているものは2です。
オリジナル,301,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における特殊健康診断に関する次の記述のうち、正しいものはどれか。,有害業務では、法令に基づき特殊健康診断の実施が義務付けられる場合がある。,有機溶剤業務では、換気設備や保護具に関する規制は存在しない。,粉じん作業では、粉じん発散を増やすことが法令上の目的である。,有害業務を行う屋内作業場では、作業環境測定が常に禁止されている。,有害業務では、労働者に注意事項を知らせる掲示を常に禁止する。,1,有害業務には、物質や作業に応じた特殊健康診断が定められています。 したがって、正しいものは1です。
オリジナル,302,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における特殊健康診断に関する次の記述のうち、誤っているものはどれか。,鉛業務では、作業環境管理、作業管理、健康診断などが法令で定められている。,酸素欠乏危険作業では、作業前の測定、換気、監視などが重要である。,有害物質のばく露防止では、作業内容に応じた呼吸用保護具を選定する必要がある。,有害業務では、特殊健康診断が法令上必要となることはない。,一定の危険有害業務に労働者を就かせるときは、特別教育が必要となる場合がある。,4,有害業務には、物質や作業に応じた特殊健康診断が定められています。 したがって、誤っているものは4です。
オリジナル,303,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における特殊健康診断に関する次の記述のうち、適切なものはどれか。,鉛業務では、鉛の有害性を考慮した法令上の管理は不要である。,酸素欠乏危険作業では、酸素濃度を確認しないことが義務付けられている。,呼吸用保護具は、種類にかかわらず全て酸素欠乏場所で単独使用できる。,特別教育は、危険有害業務に就かせる前には一切行ってはならない。,有害業務では、法令に基づき特殊健康診断の実施が義務付けられる場合がある。,5,有害業務には、物質や作業に応じた特殊健康診断が定められています。 したがって、正しいものは5です。
オリジナル,304,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における特殊健康診断に関する次の記述のうち、不適切なものはどれか。,石綿等を取り扱う作業では、飛散防止やばく露防止の措置が重要である。,局所排気装置を設置した場合、性能を維持するための点検や管理が重要である。,有害業務では、特殊健康診断が法令上必要となることはない。,保護具は、常時有効かつ清潔に保持するよう管理することが必要である。,放射線業務では、被ばく線量の測定や管理が重要である。,3,有害業務には、物質や作業に応じた特殊健康診断が定められています。 したがって、誤っているものは3です。
オリジナル,305,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における作業主任者に関する次の記述のうち、正しいものはどれか。,特定化学物質は、すべて食品添加物として無規制に扱える。,一定の有害作業では、作業主任者を選任し作業方法の決定等を行わせる必要がある。,石綿等を取り扱う作業では、飛散防止措置を行ってはならない。,局所排気装置は、一度設置すれば点検や管理を一切行ってはならない。,保護具は、破損していても点検せずに使用させることが望ましい。,2,有害作業の中には作業主任者の選任が必要なものがあります。 したがって、正しいものは2です。
オリジナル,306,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における作業主任者に関する次の記述のうち、誤っているものはどれか。,粉じん作業では、じん肺予防のため粉じん発散の抑制や呼吸用保護具の使用が重要である。,一定の有害業務を行う屋内作業場では、法令に基づく作業環境測定が必要となる場合がある。,有害業務では、作業場に有害性や注意事項等を掲示することが求められる場合がある。,妊産婦等については、有害業務への就業制限が定められている場合がある。,作業主任者は、有害作業では一切選任してはならない。,5,有害作業の中には作業主任者の選任が必要なものがあります。 したがって、誤っているものは5です。
オリジナル,307,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における作業主任者に関する次の記述のうち、適切なものはどれか。,一定の有害作業では、作業主任者を選任し作業方法の決定等を行わせる必要がある。,粉じん作業では、粉じん発散を増やすことが法令上の目的である。,有害業務を行う屋内作業場では、作業環境測定が常に禁止されている。,有害業務では、労働者に注意事項を知らせる掲示を常に禁止する。,妊産婦等には、すべての有害業務への就業を必ず強制しなければならない。,1,有害作業の中には作業主任者の選任が必要なものがあります。 したがって、正しいものは1です。
オリジナル,308,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における作業主任者に関する次の記述のうち、不適切なものはどれか。,酸素欠乏危険作業では、作業前の測定、換気、監視などが重要である。,有害物質のばく露防止では、作業内容に応じた呼吸用保護具を選定する必要がある。,一定の危険有害業務に労働者を就かせるときは、特別教育が必要となる場合がある。,作業主任者は、有害作業では一切選任してはならない。,高圧室内作業では、減圧や作業時間などに関する管理が重要である。,4,有害作業の中には作業主任者の選任が必要なものがあります。 したがって、誤っているものは4です。
オリジナル,309,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における有機溶剤業務に関する次の記述のうち、正しいものはどれか。,鉛業務では、鉛の有害性を考慮した法令上の管理は不要である。,酸素欠乏危険作業では、酸素濃度を確認しないことが義務付けられている。,有機溶剤業務では、有機溶剤の区分や作業内容に応じた換気設備等が求められる。,呼吸用保護具は、種類にかかわらず全て酸素欠乏場所で単独使用できる。,特別教育は、危険有害業務に就かせる前には一切行ってはならない。,3,有機溶剤業務では、設備、掲示、保護具、健康診断などの規制があります。 したがって、正しいものは3です。
オリジナル,310,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における有機溶剤業務に関する次の記述のうち、誤っているものはどれか。,有機溶剤業務では、換気設備や保護具に関する規制は存在しない。,石綿等を取り扱う作業では、飛散防止やばく露防止の措置が重要である。,局所排気装置を設置した場合、性能を維持するための点検や管理が重要である。,保護具は、常時有効かつ清潔に保持するよう管理することが必要である。,放射線業務では、被ばく線量の測定や管理が重要である。,1,有機溶剤業務では、設備、掲示、保護具、健康診断などの規制があります。 したがって、誤っているものは1です。
オリジナル,311,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における有機溶剤業務に関する次の記述のうち、適切なものはどれか。,石綿等を取り扱う作業では、飛散防止措置を行ってはならない。,有機溶剤業務では、有機溶剤の区分や作業内容に応じた換気設備等が求められる。,局所排気装置は、一度設置すれば点検や管理を一切行ってはならない。,保護具は、破損していても点検せずに使用させることが望ましい。,放射線業務では、被ばく線量の把握をしてはならない。,2,有機溶剤業務では、設備、掲示、保護具、健康診断などの規制があります。 したがって、正しいものは2です。
オリジナル,312,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における有機溶剤業務に関する次の記述のうち、不適切なものはどれか。,一定の有害業務を行う屋内作業場では、法令に基づく作業環境測定が必要となる場合がある。,有害業務では、作業場に有害性や注意事項等を掲示することが求められる場合がある。,妊産婦等については、有害業務への就業制限が定められている場合がある。,潜水作業では、送気、浮上、減圧などに関する安全衛生管理が重要である。,有機溶剤業務では、換気設備や保護具に関する規制は存在しない。,5,有機溶剤業務では、設備、掲示、保護具、健康診断などの規制があります。 したがって、誤っているものは5です。
オリジナル,313,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における特定化学物質に関する次の記述のうち、正しいものはどれか。,粉じん作業では、粉じん発散を増やすことが法令上の目的である。,有害業務を行う屋内作業場では、作業環境測定が常に禁止されている。,有害業務では、労働者に注意事項を知らせる掲示を常に禁止する。,特定化学物質を取り扱う作業では、物質の区分に応じたばく露防止措置が必要となる。,妊産婦等には、すべての有害業務への就業を必ず強制しなければならない。,4,特定化学物質には有害性に応じた管理措置が定められています。 したがって、正しいものは4です。
オリジナル,314,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における特定化学物質に関する次の記述のうち、誤っているものはどれか。,酸素欠乏危険作業では、作業前の測定、換気、監視などが重要である。,特定化学物質は、すべて食品添加物として無規制に扱える。,有害物質のばく露防止では、作業内容に応じた呼吸用保護具を選定する必要がある。,一定の危険有害業務に労働者を就かせるときは、特別教育が必要となる場合がある。,高圧室内作業では、減圧や作業時間などに関する管理が重要である。,2,特定化学物質には有害性に応じた管理措置が定められています。 したがって、誤っているものは2です。
オリジナル,315,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における特定化学物質に関する次の記述のうち、適切なものはどれか。,酸素欠乏危険作業では、酸素濃度を確認しないことが義務付けられている。,呼吸用保護具は、種類にかかわらず全て酸素欠乏場所で単独使用できる。,特定化学物質を取り扱う作業では、物質の区分に応じたばく露防止措置が必要となる。,特別教育は、危険有害業務に就かせる前には一切行ってはならない。,高圧室内作業では、減圧に関する管理は不要である。,3,特定化学物質には有害性に応じた管理措置が定められています。 したがって、正しいものは3です。
オリジナル,316,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における特定化学物質に関する次の記述のうち、不適切なものはどれか。,特定化学物質は、すべて食品添加物として無規制に扱える。,局所排気装置を設置した場合、性能を維持するための点検や管理が重要である。,保護具は、常時有効かつ清潔に保持するよう管理することが必要である。,放射線業務では、被ばく線量の測定や管理が重要である。,著しい騒音を発する作業場では、騒音ばく露低減や聴力管理が重要である。,1,特定化学物質には有害性に応じた管理措置が定められています。 したがって、誤っているものは1です。
オリジナル,317,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における鉛業務に関する次の記述のうち、正しいものはどれか。,石綿等を取り扱う作業では、飛散防止措置を行ってはならない。,局所排気装置は、一度設置すれば点検や管理を一切行ってはならない。,保護具は、破損していても点検せずに使用させることが望ましい。,放射線業務では、被ばく線量の把握をしてはならない。,鉛業務では、作業環境管理、作業管理、健康診断などが法令で定められている。,5,鉛中毒予防のため、設備や健康診断等の規制があります。 したがって、正しいものは5です。
オリジナル,318,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における鉛業務に関する次の記述のうち、誤っているものはどれか。,一定の有害業務を行う屋内作業場では、法令に基づく作業環境測定が必要となる場合がある。,有害業務では、作業場に有害性や注意事項等を掲示することが求められる場合がある。,鉛業務では、鉛の有害性を考慮した法令上の管理は不要である。,妊産婦等については、有害業務への就業制限が定められている場合がある。,潜水作業では、送気、浮上、減圧などに関する安全衛生管理が重要である。,3,鉛中毒予防のため、設備や健康診断等の規制があります。 したがって、誤っているものは3です。
オリジナル,319,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における鉛業務に関する次の記述のうち、適切なものはどれか。,有害業務を行う屋内作業場では、作業環境測定が常に禁止されている。,有害業務では、労働者に注意事項を知らせる掲示を常に禁止する。,妊産婦等には、すべての有害業務への就業を必ず強制しなければならない。,鉛業務では、作業環境管理、作業管理、健康診断などが法令で定められている。,潜水作業では、送気や浮上速度を管理しないことが安全である。,4,鉛中毒予防のため、設備や健康診断等の規制があります。 したがって、正しいものは4です。
オリジナル,320,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における鉛業務に関する次の記述のうち、不適切なものはどれか。,有害物質のばく露防止では、作業内容に応じた呼吸用保護具を選定する必要がある。,鉛業務では、鉛の有害性を考慮した法令上の管理は不要である。,一定の危険有害業務に労働者を就かせるときは、特別教育が必要となる場合がある。,高圧室内作業では、減圧や作業時間などに関する管理が重要である。,振動工具取扱いでは、作業時間管理や工具の点検整備が障害予防に役立つ。,2,鉛中毒予防のため、設備や健康診断等の規制があります。 したがって、誤っているものは2です。
オリジナル,321,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における粉じん作業に関する次の記述のうち、正しいものはどれか。,粉じん作業では、じん肺予防のため粉じん発散の抑制や呼吸用保護具の使用が重要である。,酸素欠乏危険作業では、酸素濃度を確認しないことが義務付けられている。,呼吸用保護具は、種類にかかわらず全て酸素欠乏場所で単独使用できる。,特別教育は、危険有害業務に就かせる前には一切行ってはならない。,高圧室内作業では、減圧に関する管理は不要である。,1,粉じん障害を防ぐため、発散抑制や保護具、健康管理が求められます。 したがって、正しいものは1です。
オリジナル,322,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における粉じん作業に関する次の記述のうち、誤っているものはどれか。,局所排気装置を設置した場合、性能を維持するための点検や管理が重要である。,保護具は、常時有効かつ清潔に保持するよう管理することが必要である。,放射線業務では、被ばく線量の測定や管理が重要である。,粉じん作業では、粉じん発散を増やすことが法令上の目的である。,著しい騒音を発する作業場では、騒音ばく露低減や聴力管理が重要である。,4,粉じん障害を防ぐため、発散抑制や保護具、健康管理が求められます。 したがって、誤っているものは4です。
オリジナル,323,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における粉じん作業に関する次の記述のうち、適切なものはどれか。,局所排気装置は、一度設置すれば点検や管理を一切行ってはならない。,保護具は、破損していても点検せずに使用させることが望ましい。,放射線業務では、被ばく線量の把握をしてはならない。,騒音作業では、耳栓等の使用や騒音低減策は一切不要である。,粉じん作業では、じん肺予防のため粉じん発散の抑制や呼吸用保護具の使用が重要である。,5,粉じん障害を防ぐため、発散抑制や保護具、健康管理が求められます。 したがって、正しいものは5です。
オリジナル,324,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における粉じん作業に関する次の記述のうち、不適切なものはどれか。,有害業務では、作業場に有害性や注意事項等を掲示することが求められる場合がある。,妊産婦等については、有害業務への就業制限が定められている場合がある。,粉じん作業では、粉じん発散を増やすことが法令上の目的である。,潜水作業では、送気、浮上、減圧などに関する安全衛生管理が重要である。,作業環境測定結果の評価では、管理濃度が用いられる物質がある。,3,粉じん障害を防ぐため、発散抑制や保護具、健康管理が求められます。 したがって、誤っているものは3です。
オリジナル,325,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における石綿作業に関する次の記述のうち、正しいものはどれか。,有害業務を行う屋内作業場では、作業環境測定が常に禁止されている。,石綿等を取り扱う作業では、飛散防止やばく露防止の措置が重要である。,有害業務では、労働者に注意事項を知らせる掲示を常に禁止する。,妊産婦等には、すべての有害業務への就業を必ず強制しなければならない。,潜水作業では、送気や浮上速度を管理しないことが安全である。,2,石綿は重篤な健康障害と関連するため、厳格なばく露防止が必要です。 したがって、正しいものは2です。
オリジナル,326,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における石綿作業に関する次の記述のうち、誤っているものはどれか。,有害物質のばく露防止では、作業内容に応じた呼吸用保護具を選定する必要がある。,一定の危険有害業務に労働者を就かせるときは、特別教育が必要となる場合がある。,高圧室内作業では、減圧や作業時間などに関する管理が重要である。,振動工具取扱いでは、作業時間管理や工具の点検整備が障害予防に役立つ。,石綿等を取り扱う作業では、飛散防止措置を行ってはならない。,5,石綿は重篤な健康障害と関連するため、厳格なばく露防止が必要です。 したがって、誤っているものは5です。
オリジナル,327,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における石綿作業に関する次の記述のうち、適切なものはどれか。,石綿等を取り扱う作業では、飛散防止やばく露防止の措置が重要である。,呼吸用保護具は、種類にかかわらず全て酸素欠乏場所で単独使用できる。,特別教育は、危険有害業務に就かせる前には一切行ってはならない。,高圧室内作業では、減圧に関する管理は不要である。,振動工具は、使用時間が長いほど必ず健康障害のリスクが下がる。,1,石綿は重篤な健康障害と関連するため、厳格なばく露防止が必要です。 したがって、正しいものは1です。
オリジナル,328,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における石綿作業に関する次の記述のうち、不適切なものはどれか。,保護具は、常時有効かつ清潔に保持するよう管理することが必要である。,放射線業務では、被ばく線量の測定や管理が重要である。,著しい騒音を発する作業場では、騒音ばく露低減や聴力管理が重要である。,石綿等を取り扱う作業では、飛散防止措置を行ってはならない。,化学物質の容器等には、危険有害性に関する表示が求められる場合がある。,4,石綿は重篤な健康障害と関連するため、厳格なばく露防止が必要です。 したがって、誤っているものは4です。
オリジナル,329,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における酸素欠乏危険作業に関する次の記述のうち、正しいものはどれか。,局所排気装置は、一度設置すれば点検や管理を一切行ってはならない。,保護具は、破損していても点検せずに使用させることが望ましい。,酸素欠乏危険作業では、作業前の測定、換気、監視などが重要である。,放射線業務では、被ばく線量の把握をしてはならない。,騒音作業では、耳栓等の使用や騒音低減策は一切不要である。,3,酸欠災害を防ぐため、測定や換気などが法令上も重視されます。 したがって、正しいものは3です。
オリジナル,330,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における酸素欠乏危険作業に関する次の記述のうち、誤っているものはどれか。,酸素欠乏危険作業では、酸素濃度を確認しないことが義務付けられている。,有害業務では、作業場に有害性や注意事項等を掲示することが求められる場合がある。,妊産婦等については、有害業務への就業制限が定められている場合がある。,潜水作業では、送気、浮上、減圧などに関する安全衛生管理が重要である。,作業環境測定結果の評価では、管理濃度が用いられる物質がある。,1,酸欠災害を防ぐため、測定や換気などが法令上も重視されます。 したがって、誤っているものは1です。
オリジナル,331,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における酸素欠乏危険作業に関する次の記述のうち、適切なものはどれか。,有害業務では、労働者に注意事項を知らせる掲示を常に禁止する。,酸素欠乏危険作業では、作業前の測定、換気、監視などが重要である。,妊産婦等には、すべての有害業務への就業を必ず強制しなければならない。,潜水作業では、送気や浮上速度を管理しないことが安全である。,管理濃度は、労働衛生管理には全く用いられない概念である。,2,酸欠災害を防ぐため、測定や換気などが法令上も重視されます。 したがって、正しいものは2です。
オリジナル,332,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における酸素欠乏危険作業に関する次の記述のうち、不適切なものはどれか。,一定の危険有害業務に労働者を就かせるときは、特別教育が必要となる場合がある。,高圧室内作業では、減圧や作業時間などに関する管理が重要である。,振動工具取扱いでは、作業時間管理や工具の点検整備が障害予防に役立つ。,SDSは、化学物質の危険有害性や取扱い上の注意を伝える文書である。,酸素欠乏危険作業では、酸素濃度を確認しないことが義務付けられている。,5,酸欠災害を防ぐため、測定や換気などが法令上も重視されます。 したがって、誤っているものは5です。
